V1_gene	Annotation_gene	Min_gene_overlap_percent
VIT_00s0956g00020	Vitvi05_01chr10g03980	92.7
VIT_00s0983g00010	Vitvi05_01chr07g23210	91.2
VIT_00s1203g00010	Vitvi05_01chr15g03800	89.2
VIT_00s1290g00010	Vitvi05_01chr04g21810	63.1
VIT_00s1353g00010	Vitvi05_01chr07g25320	69.4
VIT_00s1389g00010	Vitvi05_01chr07g24690	85.5
VIT_00s1542g00010	Vitvi05_01chr07g27360	52.9
VIT_00s1547g00010	Vitvi05_01chr17g09140	59.3
VIT_00s1667g00010	Vitvi05_01chr04g12160	50.9
VIT_00s2086g00010	Vitvi05_01chr10g02480	50.3
VIT_00s2478g00020	Vitvi05_01chr01g01700	62
VIT_00s2849g00010	Vitvi05_01chr16g00930	52.2
VIT_01s0010g00020	Vitvi05_01chr01g17220	73.5
VIT_01s0010g00240	Vitvi05_01chr01g17370	81.2
VIT_01s0010g00510	Vitvi05_01chr01g17820	71.7
VIT_01s0010g00940	Vitvi05_01chr01g18440	71.4
VIT_01s0010g01170	Vitvi05_01chr01g18760	96.4
VIT_01s0010g01390	Vitvi05_01chr01g19250	79.5
VIT_01s0010g01870	Vitvi05_01chr01g20080	59.2
VIT_01s0010g02460	Vitvi05_01chr01g20950	93.6
VIT_01s0010g03530	Vitvi05_01chr01g22610	90.9
VIT_01s0010g03620	Vitvi05_01chr01g22740	77.5
VIT_01s0010g03710	Vitvi05_01chr01g22860	96.1
VIT_01s0010g03930	Vitvi05_01chr01g23290	53.7
VIT_01s0010g04010	Vitvi05_01chr01g23440	76.9
VIT_01s0011g00110	Vitvi05_01chr01g00330	85.7
VIT_01s0011g00590	Vitvi05_01chr01g00750	86.1
VIT_01s0011g00600	Vitvi05_01chr01g00760	97.8
VIT_01s0011g00610	Vitvi05_01chr01g00770	90.9
VIT_01s0011g00760	Vitvi05_01chr01g00940	89.3
VIT_01s0011g00850	Vitvi05_01chr01g01030	69.3
VIT_01s0011g00930	Vitvi05_01chr01g01100	96.5
VIT_01s0011g01050	Vitvi05_01chr01g01250	91.2
VIT_01s0011g02000	Vitvi05_01chr01g02380	88.4
VIT_01s0011g02030	Vitvi05_01chr01g02410	98.8
VIT_01s0011g02470	Vitvi05_01chr01g03040	66
VIT_01s0011g02710	Vitvi05_01chr01g03320	62.5
VIT_01s0011g02740	Vitvi05_01chr01g03360	91.3
VIT_01s0011g02840	Vitvi05_01chr01g03450	84.7
VIT_01s0011g02930	Vitvi05_01chr01g03590	68
VIT_01s0011g02960	Vitvi05_01chr01g03630	90.8
VIT_01s0011g03070	Vitvi05_01chr01g03750	84.7
VIT_01s0011g03180	Vitvi05_01chr01g03890	82.5
VIT_01s0011g03210	Vitvi05_01chr01g03920	69.4
VIT_01s0011g03360	Vitvi05_01chr01g04130	71.6
VIT_01s0011g03400	Vitvi05_01chr01g04180	77
VIT_01s0011g03450	Vitvi05_01chr01g04250	83.1
VIT_01s0011g03660	Vitvi05_01chr01g04500	68.3
VIT_01s0011g03670	Vitvi05_01chr01g04510	93
VIT_01s0011g03680	Vitvi05_01chr01g04520	85.7
VIT_01s0011g04060	Vitvi05_01chr01g05100	80.6
VIT_01s0011g04080	Vitvi05_01chr01g05120	78.1
VIT_01s0011g04160	Vitvi05_01chr01g05190	76.3
VIT_01s0011g04210	Vitvi05_01chr01g05270	83.9
VIT_01s0011g04370	Vitvi05_01chr01g05530	65.7
VIT_01s0011g04550	Vitvi05_01chr01g05730	55.2
VIT_01s0011g04740	Vitvi05_01chr01g05990	88.7
VIT_01s0011g04820	Vitvi05_01chr01g06190	56.6
VIT_01s0011g04840	Vitvi05_01chr01g06220	58.2
VIT_01s0011g05060	Vitvi05_01chr01g06570	53.6
VIT_01s0011g05140	Vitvi05_01chr01g06610	66
VIT_01s0011g05150	Vitvi05_01chr01g06620	89.1
VIT_01s0011g05180	Vitvi05_01chr01g06650	59.8
VIT_01s0011g05200	Vitvi05_01chr01g06690	64
VIT_01s0011g05290	Vitvi05_01chr01g06790	84
VIT_01s0011g05390	Vitvi05_01chr01g06920	51.6
VIT_01s0011g05470	Vitvi05_01chr01g07060	74.4
VIT_01s0011g05670	Vitvi05_01chr01g07380	68.5
VIT_01s0011g05810	Vitvi05_01chr01g07560	89.2
VIT_01s0011g06050	Vitvi05_01chr01g07850	85.4
VIT_01s0011g06200	Vitvi05_01chr01g08090	78.3
VIT_01s0011g06290	Vitvi05_01chr01g08200	90.3
VIT_01s0011g06330	Vitvi05_01chr01g08260	69.7
VIT_01s0011g06560	Vitvi05_01chr01g08530	95
VIT_01s0011g06580	Vitvi05_01chr01g08560	64.6
VIT_01s0011g06590	Vitvi05_01chr01g08570	51.2
VIT_01s0026g00200	Vitvi05_01chr01g11940	66.2
VIT_01s0026g00330	Vitvi05_01chr01g12200	94
VIT_01s0026g00350	Vitvi05_01chr01g12250	67.8
VIT_01s0026g00520	Vitvi05_01chr01g12450	88
VIT_01s0026g00530	Vitvi05_01chr01g12460	88.5
VIT_01s0026g00740	Vitvi05_01chr01g12710	99.3
VIT_01s0026g00810	Vitvi05_01chr01g12860	70.7
VIT_01s0026g00960	Vitvi05_01chr01g13120	82.7
VIT_01s0026g00980	Vitvi05_01chr01g13140	96.6
VIT_01s0026g01020	Vitvi05_01chr01g13210	63.3
VIT_01s0026g01050	Vitvi05_01chr01g13260	52.1
VIT_01s0026g01420	Vitvi05_01chr01g13690	57.8
VIT_01s0026g01780	Vitvi05_01chr01g14170	80.6
VIT_01s0026g01790	Vitvi05_01chr01g14180	82.7
VIT_01s0026g01910	Vitvi05_01chr01g14450	83.7
VIT_01s0026g02190	Vitvi05_01chr01g14790	63.6
VIT_01s0026g02270	Vitvi05_01chr01g14910	84.9
VIT_01s0026g02400	Vitvi05_01chr01g15090	68.5
VIT_01s0026g02540	Vitvi05_01chr01g15310	64.4
VIT_01s0026g02580	Vitvi05_01chr01g15360	76
VIT_01s0127g00470	Vitvi05_01chr01g11040	91.8
VIT_01s0127g00560	Vitvi05_01chr01g11120	77.4
VIT_01s0127g00590	Vitvi05_01chr01g11190	72.9
VIT_01s0127g00680	Vitvi05_01chr01g11280	57.7
VIT_01s0127g00740	Vitvi05_01chr01g11370	87.4
VIT_01s0127g00850	Vitvi05_01chr01g11470	78.8
VIT_01s0127g00870	Vitvi05_01chr01g11490	68.1
VIT_01s0127g00900	Vitvi05_01chr01g11540	100
VIT_01s0137g00210	Vitvi05_01chr01g08970	50.6
VIT_01s0137g00240	Vitvi05_01chr01g09020	97.3
VIT_01s0137g00290	Vitvi05_01chr01g09140	91.7
VIT_01s0137g00410	Vitvi05_01chr01g09280	75
VIT_01s0137g00430	Vitvi05_01chr01g09300	92.6
VIT_01s0137g00550	Vitvi05_01chr01g09400	87.7
VIT_01s0137g00740	Vitvi05_01chr01g09690	84.3
VIT_01s0146g00070	Vitvi05_01chr01g23560	92.1
VIT_01s0146g00090	Vitvi05_01chr01g23570	81.7
VIT_01s0146g00150	Vitvi05_01chr01g23640	71.8
VIT_01s0146g00260	Vitvi05_01chr01g23810	81.4
VIT_01s0150g00210	Vitvi05_01chr01g24740	82.4
VIT_01s0150g00250	Vitvi05_01chr01g24780	69.4
VIT_01s0150g00280	Vitvi05_01chr01g24810	51.6
VIT_01s0150g00300	Vitvi05_01chr01g24840	61
VIT_01s0150g00460	Vitvi05_01chr01g25010	62.9
VIT_01s0150g00480	Vitvi05_01chr01g25030	57.3
VIT_01s0150g00510	Vitvi05_01chr01g25070	56.9
VIT_01s0244g00030	Vitvi05_01chr01g24360	88.1
VIT_02s0012g00170	Vitvi05_01chr02g10020	75.1
VIT_02s0012g00360	Vitvi05_01chr02g10400	94
VIT_02s0012g00450	Vitvi05_01chr02g10520	63.9
VIT_02s0012g00550	Vitvi05_01chr02g10720	82.7
VIT_02s0012g00570	Vitvi05_01chr02g10740	80.7
VIT_02s0012g00980	Vitvi05_01chr02g11320	70.7
VIT_02s0012g00990	Vitvi05_01chr02g11330	68.9
VIT_02s0012g01040	Vitvi05_01chr02g11400	68.9
VIT_02s0012g01120	Vitvi05_01chr02g11510	50.4
VIT_02s0012g01270	Vitvi05_01chr02g11700	79.6
VIT_02s0012g01350	Vitvi05_01chr02g11810	93.8
VIT_02s0012g01450	Vitvi05_01chr02g11980	54.3
VIT_02s0012g01660	Vitvi05_01chr02g12230	88
VIT_02s0012g02220	Vitvi05_01chr02g13000	83.7
VIT_02s0012g02810	Vitvi05_01chr02g14180	76.1
VIT_02s0025g00200	Vitvi05_01chr02g00190	70
VIT_02s0025g00210	Vitvi05_01chr02g00210	61.6
VIT_02s0025g00280	Vitvi05_01chr02g00300	54.8
VIT_02s0025g00360	Vitvi05_01chr02g00380	76.9
VIT_02s0025g00500	Vitvi05_01chr02g00540	70.3
VIT_02s0025g00810	Vitvi05_01chr02g00840	93.2
VIT_02s0025g00990	Vitvi05_01chr02g01050	75.8
VIT_02s0025g01050	Vitvi05_01chr02g01110	87.1
VIT_02s0025g01080	Vitvi05_01chr02g01160	61.3
VIT_02s0025g01230	Vitvi05_01chr02g01340	85.9
VIT_02s0025g01240	Vitvi05_01chr02g01370	57
VIT_02s0025g01260	Vitvi05_01chr02g01390	82.3
VIT_02s0025g01280	Vitvi05_01chr02g01420	73.4
VIT_02s0025g01330	Vitvi05_01chr02g01480	84
VIT_02s0025g01380	Vitvi05_01chr02g01530	93.2
VIT_02s0025g01470	Vitvi05_01chr02g01640	79.3
VIT_02s0025g01610	Vitvi05_01chr02g01860	80.8
VIT_02s0025g01710	Vitvi05_01chr02g01980	90.4
VIT_02s0025g01740	Vitvi05_01chr02g02030	86.2
VIT_02s0025g02020	Vitvi05_01chr02g02330	81.5
VIT_02s0025g02080	Vitvi05_01chr02g02370	87
VIT_02s0025g02410	Vitvi05_01chr02g02740	80.2
VIT_02s0025g02500	Vitvi05_01chr02g02840	60.4
VIT_02s0025g02600	Vitvi05_01chr02g02970	68.4
VIT_02s0025g02770	Vitvi05_01chr02g03200	80.3
VIT_02s0025g02840	Vitvi05_01chr02g03270	72.7
VIT_02s0025g02920	Vitvi05_01chr02g03330	66.4
VIT_02s0025g02970	Vitvi05_01chr02g03380	58.8
VIT_02s0025g03230	Vitvi05_01chr02g03790	90.6
VIT_02s0025g03240	Vitvi05_01chr02g03800	66
VIT_02s0025g03260	Vitvi05_01chr02g03820	56.4
VIT_02s0025g03310	Vitvi05_01chr02g03870	77.7
VIT_02s0025g03320	Vitvi05_01chr02g03890	71.5
VIT_02s0025g03390	Vitvi05_01chr02g03950	70
VIT_02s0025g03500	Vitvi05_01chr02g04100	62.1
VIT_02s0025g03540	Vitvi05_01chr02g04160	99.7
VIT_02s0025g03590	Vitvi05_01chr02g04230	84.7
VIT_02s0025g03600	Vitvi05_01chr02g04240	84
VIT_02s0025g03700	Vitvi05_01chr02g04350	81.5
VIT_02s0025g04130	Vitvi05_01chr02g05010	69.9
VIT_02s0025g04230	Vitvi05_01chr02g05170	55.8
VIT_02s0025g04260	Vitvi05_01chr02g05200	89.2
VIT_02s0025g04270	Vitvi05_01chr02g05210	64.7
VIT_02s0025g04280	Vitvi05_01chr02g05220	54.9
VIT_02s0025g04300	Vitvi05_01chr02g05250	67.3
VIT_02s0025g04330	Vitvi05_01chr02g05280	71.3
VIT_02s0025g04340	Vitvi05_01chr02g05290	77.6
VIT_02s0025g04550	Vitvi05_01chr02g05650	64.8
VIT_02s0025g04710	Vitvi05_01chr02g05850	87.6
VIT_02s0025g04730	Vitvi05_01chr02g05880	52.6
VIT_02s0033g00290	Vitvi05_01chr02g15850	94.3
VIT_02s0033g00300	Vitvi05_01chr02g15870	92.8
VIT_02s0033g00380	Vitvi05_01chr02g15960	78
VIT_02s0033g00390	Vitvi05_01chr02g15970	99.9
VIT_02s0033g00410	Vitvi05_01chr02g15990	94.3
VIT_02s0033g00450	Vitvi05_01chr02g16040	90
VIT_02s0033g00700	Vitvi05_01chr02g16820	83.3
VIT_02s0033g01000	Vitvi05_01chr02g17280	76.6
VIT_02s0033g01020	Vitvi05_01chr02g17370	63.6
VIT_02s0033g01120	Vitvi05_01chr02g17580	88.5
VIT_02s0033g01330	Vitvi05_01chr02g17940	67.4
VIT_02s0033g01380	Vitvi05_01chr02g18040	79
VIT_02s0087g00170	Vitvi05_01chr02g18320	97.3
VIT_02s0087g00370	Vitvi05_01chr02g18610	50.3
VIT_02s0087g00630	Vitvi05_01chr02g19050	87.2
VIT_02s0087g00710	Vitvi05_01chr02g19170	92.5
VIT_02s0087g00720	Vitvi05_01chr02g19180	76.4
VIT_02s0087g00910	Vitvi05_01chr02g19450	73.1
VIT_02s0087g00930	Vitvi05_01chr02g19460	88.7
VIT_02s0087g01020	Vitvi05_01chr02g19550	66.2
VIT_02s0109g00080	Vitvi05_01chr02g14730	72.3
VIT_02s0154g00070	Vitvi05_01chr02g07130	70
VIT_02s0154g00080	Vitvi05_01chr02g07150	74.4
VIT_02s0154g00250	Vitvi05_01chr02g07440	53.5
VIT_02s0154g00260	Vitvi05_01chr02g07470	90.6
VIT_02s0154g00350	Vitvi05_01chr02g07560	71
VIT_02s0154g00480	Vitvi05_01chr02g07710	87.7
VIT_03s0017g00410	Vitvi05_01chr03g16640	87.6
VIT_03s0017g00650	Vitvi05_01chr03g17080	89.3
VIT_03s0017g00870	Vitvi05_01chr03g17570	74.8
VIT_03s0017g01210	Vitvi05_01chr03g18170	55.3
VIT_03s0017g01450	Vitvi05_01chr03g18580	68
VIT_03s0017g01460	Vitvi05_01chr03g18590	55
VIT_03s0017g01630	Vitvi05_01chr03g18740	69.4
VIT_03s0017g01710	Vitvi05_01chr03g18840	61.9
VIT_03s0017g02260	Vitvi05_01chr03g19690	69.2
VIT_03s0038g00130	Vitvi05_01chr00g08160	70.8
VIT_03s0038g00220	Vitvi05_01chr03g00190	82.3
VIT_03s0038g00270	Vitvi05_01chr00g08110	53
VIT_03s0038g00440	Vitvi05_01chr00g08020	80.1
VIT_03s0038g00450	Vitvi05_01chr03g00380	90.7
VIT_03s0038g00670	Vitvi05_01chr03g00560	87.4
VIT_03s0038g01050	Vitvi05_01chr03g14800	75.7
VIT_03s0038g01110	Vitvi05_01chr03g00960	56.5
VIT_03s0038g01350	Vitvi05_01chr03g14690	94.7
VIT_03s0038g01380	Vitvi05_01chr03g01250	94.1
VIT_03s0038g01410	Vitvi05_01chr03g01280	60.3
VIT_03s0038g01510	Vitvi05_01chr03g01350	67.8
VIT_03s0038g01830	Vitvi05_01chr03g01700	69
VIT_03s0038g02010	Vitvi05_01chr03g01890	79.3
VIT_03s0038g02090	Vitvi05_01chr03g01990	92.3
VIT_03s0038g02110	Vitvi05_01chr03g02010	65.2
VIT_03s0038g02140	Vitvi05_01chr03g02070	94
VIT_03s0038g02170	Vitvi05_01chr03g02100	73
VIT_03s0038g02230	Vitvi05_01chr03g02170	95.4
VIT_03s0038g02400	Vitvi05_01chr03g02340	83.7
VIT_03s0038g02510	Vitvi05_01chr03g02460	87.5
VIT_03s0038g02680	Vitvi05_01chr03g02680	94.9
VIT_03s0038g02800	Vitvi05_01chr03g02750	75.6
VIT_03s0038g03090	Vitvi05_01chr03g03100	65.7
VIT_03s0038g03130	Vitvi05_01chr03g03150	74
VIT_03s0038g03220	Vitvi05_01chr03g03270	53.9
VIT_03s0038g03240	Vitvi05_01chr03g03300	99.1
VIT_03s0038g03560	Vitvi05_01chr03g03850	70
VIT_03s0038g03570	Vitvi05_01chr03g03860	87.7
VIT_03s0038g03660	Vitvi05_01chr03g03960	88.3
VIT_03s0038g03860	Vitvi05_01chr03g04320	59.9
VIT_03s0038g03980	Vitvi05_01chr03g04430	88.6
VIT_03s0038g04110	Vitvi05_01chr03g04560	65.3
VIT_03s0038g04330	Vitvi05_01chr03g04830	51.2
VIT_03s0038g04390	Vitvi05_01chr03g04880	84.9
VIT_03s0038g04570	Vitvi05_01chr03g05100	95.2
VIT_03s0038g04680	Vitvi05_01chr03g05200	100
VIT_03s0038g04700	Vitvi05_01chr03g05230	97.4
VIT_03s0038g04760	Vitvi05_01chr03g05290	62.6
VIT_03s0063g00010	Vitvi05_01chr03g08560	57.7
VIT_03s0063g00120	Vitvi05_01chr03g08460	76.4
VIT_03s0063g00180	Vitvi05_01chr03g08380	54.4
VIT_03s0063g00210	Vitvi05_01chr03g08350	76.8
VIT_03s0063g00370	Vitvi05_01chr03g08190	84.5
VIT_03s0063g00460	Vitvi05_01chr03g08070	50.2
VIT_03s0063g00800	Vitvi05_01chr03g07750	93.3
VIT_03s0063g00810	Vitvi05_01chr03g07740	95.7
VIT_03s0063g01290	Vitvi05_01chr03g07140	80.1
VIT_03s0063g01330	Vitvi05_01chr03g07080	79.4
VIT_03s0063g01340	Vitvi05_01chr03g07070	72.9
VIT_03s0063g01380	Vitvi05_01chr03g07010	59.1
VIT_03s0063g01480	Vitvi05_01chr03g06830	87.9
VIT_03s0063g01560	Vitvi05_01chr03g06760	83.5
VIT_03s0063g01760	Vitvi05_01chr03g06560	62.8
VIT_03s0063g01770	Vitvi05_01chr03g06550	56.9
VIT_03s0063g01880	Vitvi05_01chr03g06360	97.2
VIT_03s0063g01930	Vitvi05_01chr03g06300	53.5
VIT_03s0063g01960	Vitvi05_01chr03g06270	82.2
VIT_03s0063g01970	Vitvi05_01chr03g06260	76.1
VIT_03s0063g02020	Vitvi05_01chr03g06210	94.8
VIT_03s0063g02250	Vitvi05_01chr03g05940	66.7
VIT_03s0063g02360	Vitvi05_01chr03g05820	74.6
VIT_03s0063g02380	Vitvi05_01chr03g05780	51.2
VIT_03s0063g02490	Vitvi05_01chr03g05650	90.6
VIT_03s0063g02620	Vitvi05_01chr03g05500	94
VIT_03s0088g00050	Vitvi05_01chr03g10760	73.1
VIT_03s0088g00060	Vitvi05_01chr03g10790	81.1
VIT_03s0088g00140	Vitvi05_01chr03g10920	86
VIT_03s0088g00210	Vitvi05_01chr03g11000	87.2
VIT_03s0088g00320	Vitvi05_01chr03g11170	72.1
VIT_03s0088g00620	Vitvi05_01chr03g11490	74.4
VIT_03s0088g00700	Vitvi05_01chr03g11570	51.4
VIT_03s0088g00710	Vitvi05_01chr03g11580	58.2
VIT_03s0088g00810	Vitvi05_01chr03g11650	60.7
VIT_03s0088g01190	Vitvi05_01chr03g12080	90.4
VIT_03s0088g01250	Vitvi05_01chr03g12120	99.2
VIT_03s0091g00160	Vitvi05_01chr03g09150	65.6
VIT_03s0091g00210	Vitvi05_01chr03g09280	56.4
VIT_03s0091g00260	Vitvi05_01chr03g09350	84.3
VIT_03s0091g00410	Vitvi05_01chr03g09540	54.8
VIT_03s0091g00420	Vitvi05_01chr03g09550	62.6
VIT_03s0091g00430	Vitvi05_01chr03g09570	82.7
VIT_03s0091g00450	Vitvi05_01chr03g09590	91.4
VIT_03s0091g00490	Vitvi05_01chr03g09650	58.1
VIT_03s0091g00500	Vitvi05_01chr03g09660	51.3
VIT_03s0091g01010	Vitvi05_01chr03g10340	93.4
VIT_03s0091g01060	Vitvi05_01chr03g10410	57.5
VIT_03s0091g01240	Vitvi05_01chr03g10670	88.2
VIT_03s0091g01290	Vitvi05_01chr03g10690	84.9
VIT_03s0110g00300	Vitvi05_01chr03g15540	91
VIT_03s0132g00070	Vitvi05_01chr03g14410	88.3
VIT_03s0132g00100	Vitvi05_01chr03g14390	83.3
VIT_03s0167g00010	Vitvi05_01chr03g13770	64.1
VIT_03s0167g00220	Vitvi05_01chr03g13500	51
VIT_03s0180g00070	Vitvi05_01chr03g08660	80.6
VIT_03s0180g00090	Vitvi05_01chr03g08690	91.4
VIT_03s0180g00110	Vitvi05_01chr03g08710	91.8
VIT_03s0180g00210	Vitvi05_01chr03g08840	63.5
VIT_03s0180g00280	Vitvi05_01chr03g08920	69.4
VIT_04s0008g00460	Vitvi05_01chr04g00490	81.5
VIT_04s0008g00960	Vitvi05_01chr04g01070	96.7
VIT_04s0008g01070	Vitvi05_01chr04g01190	79.5
VIT_04s0008g01110	Vitvi05_01chr04g01220	86.7
VIT_04s0008g01160	Vitvi05_01chr04g01270	64.9
VIT_04s0008g01210	Vitvi05_01chr04g01330	53.6
VIT_04s0008g01380	Vitvi05_01chr04g01530	64.8
VIT_04s0008g01520	Vitvi05_01chr04g01690	53.7
VIT_04s0008g01560	Vitvi05_01chr04g01740	100
VIT_04s0008g01570	Vitvi05_01chr04g01750	51.4
VIT_04s0008g01700	Vitvi05_01chr04g01920	56.2
VIT_04s0008g01720	Vitvi05_01chr04g01940	87.1
VIT_04s0008g01730	Vitvi05_01chr04g01950	94.8
VIT_04s0008g01740	Vitvi05_01chr04g01960	99.2
VIT_04s0008g01850	Vitvi05_01chr04g02110	73
VIT_04s0008g01880	Vitvi05_01chr04g02140	84.8
VIT_04s0008g01900	Vitvi05_01chr04g02160	96.4
VIT_04s0008g01910	Vitvi05_01chr04g02170	86.1
VIT_04s0008g01970	Vitvi05_01chr04g02220	84.5
VIT_04s0008g02640	Vitvi05_01chr04g03010	91.8
VIT_04s0008g02670	Vitvi05_01chr04g03050	99.1
VIT_04s0008g02760	Vitvi05_01chr04g03170	70.3
VIT_04s0008g03240	Vitvi05_01chr04g03750	78.5
VIT_04s0008g03270	Vitvi05_01chr04g03800	72.4
VIT_04s0008g03760	Vitvi05_01chr04g04370	86.5
VIT_04s0008g03950	Vitvi05_01chr04g04620	80.9
VIT_04s0008g04050	Vitvi05_01chr04g04750	80
VIT_04s0008g04060	Vitvi05_01chr04g04780	72
VIT_04s0008g04160	Vitvi05_01chr04g04900	77.4
VIT_04s0008g04240	Vitvi05_01chr04g05040	95.6
VIT_04s0008g04990	Vitvi05_01chr04g06120	93.6
VIT_04s0008g05010	Vitvi05_01chr04g06150	86.4
VIT_04s0008g05120	Vitvi05_01chr04g06280	88.7
VIT_04s0008g05220	Vitvi05_01chr04g06420	95.7
VIT_04s0008g05340	Vitvi05_01chr04g06560	89.1
VIT_04s0008g05510	Vitvi05_01chr04g06780	85.9
VIT_04s0008g05770	Vitvi05_01chr04g07060	80.7
VIT_04s0008g05830	Vitvi05_01chr04g07200	83.7
VIT_04s0008g06140	Vitvi05_01chr04g07710	82.5
VIT_04s0008g06150	Vitvi05_01chr04g07730	81.9
VIT_04s0008g06570	Vitvi05_01chr04g08350	87.9
VIT_04s0023g00130	Vitvi05_01chr04g15720	94.6
VIT_04s0023g00320	Vitvi05_01chr04g16050	82.7
VIT_04s0023g00410	Vitvi05_01chr04g16130	82.9
VIT_04s0023g01110	Vitvi05_01chr04g17220	88.7
VIT_04s0023g01140	Vitvi05_01chr04g17260	69.4
VIT_04s0023g01150	Vitvi05_01chr04g17270	59.5
VIT_04s0023g01520	Vitvi05_01chr04g17870	99.6
VIT_04s0023g01660	Vitvi05_01chr04g18040	78.5
VIT_04s0023g01800	Vitvi05_01chr04g18250	83.5
VIT_04s0023g02110	Vitvi05_01chr04g18590	92.4
VIT_04s0023g02130	Vitvi05_01chr04g18610	82.2
VIT_04s0023g02200	Vitvi05_01chr04g18680	79.1
VIT_04s0023g02280	Vitvi05_01chr04g18750	71.1
VIT_04s0023g02510	Vitvi05_01chr04g19060	99.3
