"Module"	"Gene"	"V3_gene"	"V5_gene"	"V3_all_term_ids"	"V3_all_term_names"	"V5_all_term_ids"	"V5_all_term_names"	"V3_Pfam"	"V3_PANTHER"	"V5_Pfam"	"V5_PANTHER"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"
"M10"	"VIT_12s0142g00160"	"Vitvi12g02185"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR33124 ('TRANSCRIPTION FACTOR IBH1-LIKE 1-Transcription factor IBH1-like', '1.7E-16', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_09s0002g06400"	"Vitvi09g00558"	"Vitvi05_01chr09g07890"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	"PF05553 ('Cotton fibre expressed protein-Protein of unknown function DUF761, plant', '6.7E-12', 'Pfam')"	"PTHR33098 ('COTTON FIBER (DUF761)', '6.9E-11', 'PANTHER')"	""	""	"chr09"	6291783	6292353
"M10"	"VIT_13s0067g00700"	"Vitvi13g00035"	"Vitvi05_01chr13g00430"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	"PF10457 ('Cholesterol-capturing domain-MENTAL domain', '0.0012', 'Pfam')"	"PTHR34953 ('ALPHA/BETA HYDROLASE RELATED PROTEIN', '7.2E-90', 'PANTHER')"	"PF10457 ('Cholesterol-capturing domain-MENTAL domain', '0.0012', 'Pfam')"	"PTHR34953 ('ALPHA/BETA HYDROLASE RELATED PROTEIN', '7.2E-90', 'PANTHER')"	"chr13"	385919	390381
"M10"	"VIT_19s0015g01300"	"Vitvi19g00760"	NA	"24; 24.2; 24.2.3; 24.2.3.4; 24.2.3.4.1"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.APC superfamily; Solute transport.carrier-mediated transport.APC superfamily.AAAP family; Solute transport.carrier-mediated transport.APC superfamily.AAAP family.amino acid transporter (AAP)"	""	""	"PF01490 ('Transmembrane amino acid transporter protein-Amino acid transporter, transmembrane domain', '3.5E-99', 'Pfam')"	"PTHR48017 ('OS05G0424000 PROTEIN-RELATED', '0.0', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_12s0059g00490"	"Vitvi12g00355"	"Vitvi05_01chr12g06140"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	"PF07172 ('Glycine rich protein family-Glycine rich protein', '4.2E-4', 'Pfam')"	"PTHR37389 ('NODULIN-24-Glycine rich protein', '1.6E-11', 'PANTHER')"	""	""	"chr12"	5385732	5386432
"M10"	"VIT_02s0025g01610"	"Vitvi02g00149"	"Vitvi05_01chr02g01860"	"27; 27.5; 27.5.2; 27.5.2.3"	"Multi-process regulation; Multi-process regulation.phosphoinositide lipid regulatory system; Multi-process regulation.phosphoinositide lipid regulatory system.phosphatidylinositol 4/5-phosphate; Multi-process regulation.phosphoinositide lipid regulatory system.phosphatidylinositol 4/5-phosphate.phosphatidylinositol 4-kinase (PI4K-gamma)"	"27; 27.6; 27.6.2; 27.6.2.3"	"mapman:Multi-process regulation; mapman:Multi-process regulation.phosphoinositide signalling; mapman:Multi-process regulation.phosphoinositide signalling.phosphoinositide homeostasis; mapman:Multi-process regulation.phosphoinositide signalling.phosphoinositide homeostasis.phosphatidylinositol 4-kinase *(PI4K-gamma)"	"PF00240 ('Ubiquitin family-Ubiquitin-like domain', '1.0E-10', 'Pfam'); PF00454 ('Phosphatidylinositol 3- and 4-kinase-Phosphatidylinositol 3-/4-kinase, catalytic domain', '6.4E-49', 'Pfam')"	"PTHR45800 ('PHOSPHATIDYLINOSITOL 4-KINASE GAMMA-Phosphatidylinositol 4-kinase gamma 1-8', '0.0', 'PANTHER')"	"PF00240 ('Ubiquitin family-Ubiquitin-like domain', '1.0E-10', 'Pfam'); PF00454 ('Phosphatidylinositol 3- and 4-kinase-Phosphatidylinositol 3-/4-kinase, catalytic domain', '6.4E-49', 'Pfam')"	"PTHR45800 ('PHOSPHATIDYLINOSITOL 4-KINASE GAMMA-Phosphatidylinositol 4-kinase gamma 1-8', '0.0', 'PANTHER')"	"chr02"	1377645	1381544
"M10"	"VIT_00s0274g00090"	"Vitvi10g01735"	NA	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF03358 ('NADPH-dependent FMN reductase-NADPH-dependent FMN reductase-like', '4.9E-12', 'Pfam')"	"PTHR30546 ('FLAVODOXIN-RELATED PROTEIN WRBA-RELATED', '3.1E-108', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_12s0035g02080"	"Vitvi12g02755"	"Vitvi05_01chr12g23210"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	"PF01852 ('START domain-START domain', '1.6E-11', 'Pfam')"	"PTHR19308 ('PHOSPHATIDYLCHOLINE TRANSFER PROTEIN-START domain-containing lipid transfer', '3.9E-37', 'PANTHER')"	"PF01852 ('START domain-START domain', '1.6E-11', 'Pfam')"	"PTHR19308 ('PHOSPHATIDYLCHOLINE TRANSFER PROTEIN-START domain-containing lipid transfer', '3.9E-37', 'PANTHER')"	"chr12"	24402890	24405770
"M10"	"VIT_16s0100g00400"	"Vitvi16g00942"	NA	"15; 15.5; 15.5.7; 15.5.7.2"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.AP2/ERF  transcription factor superfamily; RNA biosynthesis.transcriptional regulation.AP2/ERF  transcription factor superfamily.transcription factor (DREB)"	""	""	"PF00847 ('AP2 domain-AP2/ERF domain', '5.4E-7', 'Pfam')"	"PTHR31839 ('DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 1D-Dehydration-responsive element-binding protein 1A-I', '2.4E-50', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_17s0000g07470"	"Vitvi17g00722"	"Vitvi05_01chr17g11000"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF13513 ('HEAT-like repeat', '7.3E-4', 'Pfam')"	"PTHR31355 ('MICROTUBULE-ASSOCIATED PROTEIN TORTIFOLIA1-MT-associated protein TORTIFOLIA1/SPIRAL2-like', '0.0', 'PANTHER')"	"PF13513 ('HEAT-like repeat', '7.3E-4', 'Pfam')"	"PTHR31355 ('MICROTUBULE-ASSOCIATED PROTEIN TORTIFOLIA1-MT-associated protein TORTIFOLIA1/SPIRAL2-like', '0.0', 'PANTHER')"	"chr17"	8807482	8810707
"M10"	"VIT_04s0023g03550"	"Vitvi04g01471"	"Vitvi05_01chr04g20470"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF00314 ('Thaumatin family-Thaumatin family', '4.3E-82', 'Pfam')"	"PTHR31048 ('OS03G0233200 PROTEIN-Thaumatin family', '1.2E-94', 'PANTHER')"	"PF00314 ('Thaumatin family-Thaumatin family', '4.3E-82', 'Pfam')"	"PTHR31048 ('OS03G0233200 PROTEIN-Thaumatin family', '1.2E-94', 'PANTHER')"	"chr04"	21539597	21542195
"M10"	"VIT_05s0102g00710"	"Vitvi05g01516"	"Vitvi05_01chr05g23320"	"3; 3.1; 3.1.4; 3.1.4.4"	"Carbohydrate metabolism; Carbohydrate metabolism.sucrose metabolism; Carbohydrate metabolism.sucrose metabolism.degradation; Carbohydrate metabolism.sucrose metabolism.degradation.fructose kinase"	"3; 3.1; 3.1.4; 3.1.4.4; 50; 50.2; 50.2.7"	"mapman:Carbohydrate metabolism; mapman:Carbohydrate metabolism.sucrose metabolism; mapman:Carbohydrate metabolism.sucrose metabolism.degradation; mapman:Carbohydrate metabolism.sucrose metabolism.degradation.fructose kinase; mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-7 transferase transferring phosphorus-containing group"	"PF00294 ('pfkB family carbohydrate kinase-Carbohydrate kinase PfkB', '2.2E-69', 'Pfam')"	"PTHR43085 ('HEXOKINASE FAMILY MEMBER-PfkB Carbohydrate Kinase', '0.0', 'PANTHER')"	"PF00294 ('pfkB family carbohydrate kinase-Carbohydrate kinase PfkB', '2.2E-69', 'Pfam')"	"PTHR43085 ('HEXOKINASE FAMILY MEMBER-PfkB Carbohydrate Kinase', '0.0', 'PANTHER')"	"chr05"	24278723	24283340
"M10"	"VIT_16s0098g01170"	"Vitvi16g01362"	NA	"15; 15.5; 15.5.3; 15.5.3.1"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.Homeobox  transcription factor superfamily; RNA biosynthesis.transcriptional regulation.Homeobox  transcription factor superfamily.transcription factor (HD-ZIP I/II)"	""	""	"PF02183 ('Homeobox associated leucine zipper-Leucine zipper, homeobox-associated', '4.2E-13', 'Pfam'); PF00046 ('Homeodomain-Homeodomain', '7.9E-15', 'Pfam')"	"PTHR24326 ('HOMEOBOX-LEUCINE ZIPPER PROTEIN-Homeobox-leucine zipper protein, class I, plant', '1.7E-45', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_08s0040g02610"	"Vitvi08g02168"	"Vitvi05_01chr08g12240"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	"PF07795 ('Protein of unknown function (DUF1635)-Protein of unknown function DUF1635', '2.0E-23', 'Pfam'); PF07795 ('Protein of unknown function (DUF1635)-Protein of unknown function DUF1635', '5.4E-11', 'Pfam')"	"PTHR33431 ('ENABLED-LIKE PROTEIN (DUF1635)-Protein of unknown function DUF1635', '2.8E-55', 'PANTHER')"	"PF07795 ('Protein of unknown function (DUF1635)-Protein of unknown function DUF1635', '2.0E-23', 'Pfam'); PF07795 ('Protein of unknown function (DUF1635)-Protein of unknown function DUF1635', '5.4E-11', 'Pfam')"	"PTHR33431 ('ENABLED-LIKE PROTEIN (DUF1635)-Protein of unknown function DUF1635', '2.8E-55', 'PANTHER')"	"chr08"	14807497	14809406
"M10"	"VIT_05s0049g00840"	"Vitvi05g01953"	"Vitvi05_01chr05g10840"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR34629 ('PROLINE-RICH EXTENSIN-LIKE PROTEIN EPR1-Plant Proline-Rich Cell Wall Protein', '1.2E-39', 'PANTHER')"	""	""	"chr05"	8040887	8041769
"M10"	"VIT_03s0091g00260"	"Vitvi03g00582"	"Vitvi05_01chr03g09350"	"15; 15.5; 15.5.15"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.transcription factor (C2H2-ZF)"	"15; 15.5; 15.5.2; 15.5.2.9"	"mapman:RNA biosynthesis; mapman:RNA biosynthesis.DNA-binding transcriptional regulation; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain.ZFP transcription factor"	""	"PTHR47593 ('ZINC FINGER PROTEIN 4-LIKE-Zinc finger protein 7', '8.5E-83', 'PANTHER')"	""	"PTHR47593 ('ZINC FINGER PROTEIN 4-LIKE-Zinc finger protein 7', '8.5E-83', 'PANTHER')"	"chr03"	6516312	6517380
"M10"	"VIT_04s0023g03540"	"Vitvi04g01470"	NA	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF00314 ('Thaumatin family-Thaumatin family', '2.4E-82', 'Pfam')"	"PTHR31048 ('OS03G0233200 PROTEIN-Thaumatin family', '3.9E-92', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_14s0030g02310"	"Vitvi14g00483"	NA	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF02309 ('AUX/IAA family-AUX/IAA domain', '2.7E-58', 'Pfam')"	"PTHR31734 ('AUXIN-RESPONSIVE PROTEIN IAA17-AUX/IAA protein', '2.8E-59', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_00s0271g00110"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M10"	"VIT_05s0049g00800"	"Vitvi05g01950"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR34629 ('PROLINE-RICH EXTENSIN-LIKE PROTEIN EPR1-Plant Proline-Rich Cell Wall Protein', '1.8E-42', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_05s0020g00840"	"Vitvi05g01833"	"Vitvi05_01chr05g04000"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR47372 ('DAUER UP-REGULATED-RELATED', '3.3E-12', 'PANTHER')"	""	"PTHR47372 ('DAUER UP-REGULATED-RELATED', '3.3E-12', 'PANTHER')"	"chr05"	2895508	2897139
"M10"	"VIT_14s0068g02190"	"Vitvi14g01560"	"Vitvi05_01chr14g23590"	"24; 24.2; 24.2.16"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.anion channel / anion:proton antiporter (CLC)"	"24; 24.2; 24.2.15"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.anion channel / anion:proton antiporter *(CLC)"	"PF00571 ('CBS domain-CBS domain', '5.4', 'Pfam'); PF00654 ('Voltage gated chloride channel-Chloride channel, voltage gated', '3.8E-72', 'Pfam')"	"PTHR11689 ('CHLORIDE CHANNEL PROTEIN CLC FAMILY MEMBER-Voltage-gated chloride channel/antiporter', '0.0', 'PANTHER')"	"PF00571 ('CBS domain-CBS domain', '5.4', 'Pfam'); PF00654 ('Voltage gated chloride channel-Chloride channel, voltage gated', '3.8E-72', 'Pfam')"	"PTHR11689 ('CHLORIDE CHANNEL PROTEIN CLC FAMILY MEMBER-Voltage-gated chloride channel/antiporter', '0.0', 'PANTHER')"	"chr14"	25685308	25689555
"M10"	"VIT_11s0037g00890"	"Vitvi11g00805"	NA	""	""	""	""	"PF00117 ('Glutamine amidotransferase class-I-Glutamine amidotransferase', '4.4E-12', 'Pfam')"	"PTHR42695 ('GLUTAMINE AMIDOTRANSFERASE YLR126C-RELATED-Glutamine amidotransferase domain containing protein ChyE-like', '4.2E-98', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_15s0048g00740"	"Vitvi15g00727"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR33601 ('PROTEIN LITTLE ZIPPER 4-Protein LITTLE ZIPPER', '1.1E-17', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_00s0274g00080"	"Vitvi10g01734"	NA	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF03358 ('NADPH-dependent FMN reductase-NADPH-dependent FMN reductase-like', '7.2E-12', 'Pfam')"	"PTHR30546 ('FLAVODOXIN-RELATED PROTEIN WRBA-RELATED', '7.8E-112', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_19s0014g00540"	"Vitvi19g01808"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M10"	"VIT_04s0023g02280"	"Vitvi04g02122"	"Vitvi05_01chr04g18750"	"50; 50.2; 50.2.1"	"Enzyme classification; Enzyme classification.EC_2 transferases; Enzyme classification.EC_2 transferases.EC_2.1 transferase transferring one-carbon group"	"50; 50.2; 50.2.1"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-1 transferase transferring one-carbon group"	"PF03492 ('SAM dependent carboxyl methyltransferase-SAM dependent carboxyl methyltransferase', '9.9E-126', 'Pfam')"	"PTHR31009 ('S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN-SAM dependent carboxyl methyltransferase', '0.0', 'PANTHER')"	"PF03492 ('SAM dependent carboxyl methyltransferase-SAM dependent carboxyl methyltransferase', '9.9E-126', 'Pfam')"	"PTHR31009 ('S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN-SAM dependent carboxyl methyltransferase', '0.0', 'PANTHER')"	"chr04"	20220446	20222655
"M10"	"VIT_07s0005g01700"	"Vitvi07g02230"	"Vitvi05_01chr07g06780"	"15; 15.5; 15.5.32"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.transcription factor (bHLH)"	"21; 21.9; 21.9.2"	"mapman:Cell wall organisation; mapman:Cell wall organisation.cell surface reactive oxygen homeostasis; mapman:Cell wall organisation.cell surface reactive oxygen homeostasis.bHLH transcription factor *(UPBEAT)"	""	"PTHR33124 ('TRANSCRIPTION FACTOR IBH1-LIKE 1-Transcription factor IBH1-like', '4.6E-17', 'PANTHER')"	""	"PTHR33124 ('TRANSCRIPTION FACTOR IBH1-LIKE 1-Transcription factor IBH1-like', '4.6E-17', 'PANTHER')"	"chr07"	4569009	4569881
"M10"	"VIT_18s0001g15730"	"Vitvi18g01254"	"Vitvi05_01chr18g18600"	"15; 15.5; 15.5.1; 15.5.1.5"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.C2C2 transcription factor superfamily; RNA biosynthesis.transcriptional regulation.C2C2 transcription factor superfamily.transcription factor (DOF)"	"15; 15.5; 15.5.2; 15.5.2.3"	"mapman:RNA biosynthesis; mapman:RNA biosynthesis.DNA-binding transcriptional regulation; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain.DOF transcription factor"	"PF02701 ('Dof domain, zinc finger-Zinc finger, Dof-type', '1.8E-28', 'Pfam')"	"PTHR31992 ('DOF ZINC FINGER PROTEIN DOF1.4-RELATED-Dof zinc finger protein', '7.3E-42', 'PANTHER')"	"PF02701 ('Dof domain, zinc finger-Zinc finger, Dof-type', '1.8E-28', 'Pfam')"	"PTHR31992 ('DOF ZINC FINGER PROTEIN DOF1.4-RELATED-Dof zinc finger protein', '7.3E-42', 'PANTHER')"	"chr18"	13783306	13785240
"M2"	"VIT_03s0038g01930"	"Vitvi03g00104"	NA	"18; 18.12; 18.12.1"	"Protein modification; Protein modification.protein folding; Protein modification.protein folding.protein folding catalyst (Cyclophilin)"	""	""	"PF00160 ('Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD-Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain', '0.023', 'Pfam')"	"PTHR11071 ('PEPTIDYL-PROLYL CIS-TRANS ISOMERASE', '1.9E-16', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_07s0129g00090"	"Vitvi07g01586"	NA	"17; 17.1; 17.1.2; 17.1.2.1; 17.1.2.1.26"	"Protein biosynthesis; Protein biosynthesis.ribosome biogenesis; Protein biosynthesis.ribosome biogenesis.large ribosomal subunit (LSU); Protein biosynthesis.ribosome biogenesis.large ribosomal subunit (LSU).LSU proteome; Protein biosynthesis.ribosome biogenesis.large ribosomal subunit (LSU).LSU proteome.component RPL26"	""	""	"PF16906 ('Ribosomal proteins L26 eukaryotic, L24P archaeal-Large ribosomal subunit protein uL24, eukaryotic/archaeal', '3.2E-34', 'Pfam'); PF00467 ('KOW motif-KOW', '3.8E-5', 'Pfam')"	"PTHR11143 ('60S RIBOSOMAL PROTEIN L26 FAMILY MEMBER-Large ribosomal subunit protein uL24, eukaryotic/archaeal', '1.1E-69', 'PANTHER')"	NA	NA	NA	NA	NA
