run_accession	sample_accession	secondary_sample_accession	experiment_accession	fastq_ftp	fastq_bytes	fastq_md5	library_layout	read_count	base_count
SRR5560594	SAMN07124230	SRS2200298	SRX2823699	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560594/SRR5560594.fastq.gz	2033894384	138405c00b88c94ce86fccf864348430	SINGLE	23271467	2327146700
SRR5560596	SAMN07124228	SRS2200301	SRX2823701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560596/SRR5560596.fastq.gz	2815162933	edb49a7c8d1bbe9ba90647d132aeb28c	SINGLE	31618280	3161828000
SRR5560597	SAMN07124227	SRS2200300	SRX2823702	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560597/SRR5560597.fastq.gz	2804794306	437c6c967ed91a2ea0547d8be44ef611	SINGLE	32276350	3259911350
SRR5560599	SAMN07124329	SRS2200303	SRX2823704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560599/SRR5560599.fastq.gz	3171417019	a96a3c4967dc24b1b72c7ea3c45cc1f5	SINGLE	36601916	3696793516
SRR5560602	SAMN07124326	SRS2200306	SRX2823707	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560602/SRR5560602.fastq.gz	3428001077	c66abe59b49752cf5fc483436171c308	SINGLE	40729499	4072949900
SRR5560605	SAMN07124320	SRS2200309	SRX2823710	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560605/SRR5560605.fastq.gz	2316501834	805e6bd50eeebf6affd54617673b3e3b	SINGLE	27535937	2753593700
SRR5560608	SAMN07124324	SRS2200312	SRX2823713	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560608/SRR5560608.fastq.gz	2748662228	e87147882ac28951b0837dcc88000898	SINGLE	33525153	3352515300
SRR5560617	SAMN07124194	SRS2200321	SRX2823722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560617/SRR5560617.fastq.gz	2547095035	764318eafaf4417492d3a08a879d892a	SINGLE	28829598	2882959800
SRR5560621	SAMN07124190	SRS2200326	SRX2823726	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560621/SRR5560621.fastq.gz	2890204092	8483eded8c6000e74d287fc2397f9062	SINGLE	33013226	3301322600
SRR5560623	SAMN07124188	SRS2200328	SRX2823728	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560623/SRR5560623.fastq.gz	2896535093	32d2e6ccdf707a0a5126c907b695f345	SINGLE	33125627	3312562700
SRR5560628	SAMN07124183	SRS2200334	SRX2823733	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560628/SRR5560628.fastq.gz	2261588346	c66497514faf55180f5df4da2ab70e32	SINGLE	25573908	2455095168
SRR5560629	SAMN07124182	SRS2200332	SRX2823734	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560629/SRR5560629.fastq.gz	2477743414	09dd3fa239042d81c099a1f572714669	SINGLE	29741944	2855226624
SRR5560631	SAMN07124180	SRS2200335	SRX2823736	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560631/SRR5560631.fastq.gz	5635924541	9fb19d77074ad4492ecf1648e6bbdf45	SINGLE	67489173	6411471435
SRR5560633	SAMN07124178	SRS2200337	SRX2823738	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560633/SRR5560633.fastq.gz	2182241167	0ad24938e30cc47bdf44df9bcfef9e8d	SINGLE	26095232	2505142272
SRR5560647	SAMN07124224	SRS2200352	SRX2823752	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560647/SRR5560647.fastq.gz	2331504780	e9e740148c7ba9885a81325856a0d24b	SINGLE	28772950	2762203200
SRR5560655	SAMN07124216	SRS2200360	SRX2823760	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560655/SRR5560655.fastq.gz	2243563598	655843d1e4e58477f2423a952ead05ca	SINGLE	25804009	2477184864
SRR5560661	SAMN07124210	SRS2200366	SRX2823766	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560661/SRR5560661.fastq.gz	2482527244	9699990555ce0c39080b99828107c3c2	SINGLE	26945147	2721459847
SRR5560671	SAMN07124200	SRS2200376	SRX2823776	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560671/SRR5560671.fastq.gz	2899001389	a42ca2f103ef7fa97be9e3f3d405ce44	SINGLE	33790624	3412853024
SRR5560683	SAMN07124305	SRS2200385	SRX2823788	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560683/SRR5560683.fastq.gz	2413791380	bf285f21f1ee0d937f81bd9dca2d7210	SINGLE	29352785	2964631285
SRR5560685	SAMN07124303	SRS2200390	SRX2823790	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560685/SRR5560685.fastq.gz	1866532157	7cf1ff503b9c78c359818472ce00f7c7	SINGLE	23127635	2335891135
SRR5560694	SAMN07124293	SRS2200398	SRX2823799	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560694/SRR5560694.fastq.gz	3778530630	f6b0d894421a99558d05fd6dddfc9255	SINGLE	41656685	4165668500
SRR5560695	SAMN07124292	SRS2200400	SRX2823800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560695/SRR5560695.fastq.gz	3180850474	52eeee63acdd6af82f68144e2631b950	SINGLE	35243463	3524346300
SRR5560699	SAMN07124288	SRS2200404	SRX2823804	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560699/SRR5560699.fastq.gz	1660091866	58f449f2350af8d00eca3d466452a08c	SINGLE	17465571	1764022671
SRR5560701	SAMN07124286	SRS2200406	SRX2823806	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560701/SRR5560701.fastq.gz	1987981389	b8bdeac4040d7c10bca547e7d41388e3	SINGLE	20912136	2112125736
SRR5560702	SAMN07124285	SRS2200407	SRX2823807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560702/SRR5560702.fastq.gz	2205393514	b394cf85c245588839b81452f15d0656	SINGLE	23219431	2345162531
SRR5560703	SAMN07124284	SRS2200408	SRX2823808	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560703/SRR5560703.fastq.gz	1913375924	6eaa2cfb9dd60b336f15c42b72dde1a6	SINGLE	20030660	2023096660
SRR5560704	SAMN07124283	SRS2200410	SRX2823809	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560704/SRR5560704.fastq.gz	4154271964	650dc7d15f110817fd20f3069c7de135	SINGLE	46197548	4619754800
SRR5560717	SAMN07124355	SRS2200422	SRX2823822	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560717/SRR5560717.fastq.gz	2329275548	1d96585e8f83293a3fa51eb4733882bf	SINGLE	26357507	2635750700
SRR5560722	SAMN07124350	SRS2200425	SRX2823827	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560722/SRR5560722.fastq.gz	2673702677	b0004b395a855eaef5e9d10554897413	SINGLE	29887943	2988794300
SRR5560507	SAMN07124256	SRS2200213	SRX2823613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560507/SRR5560507.fastq.gz	2281969955	4d78e9f04f24ca197015029e1c073eee	SINGLE	29764299	2827608405
SRR5560510	SAMN07124253	SRS2200216	SRX2823616	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560510/SRR5560510.fastq.gz	2755865247	2806bd8ea5a72442f6da335b14d2fb7b	SINGLE	31623079	3035815584
SRR5560513	SAMN07124250	SRS2200219	SRX2823619	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560513/SRR5560513.fastq.gz	2005602988	03d115dbc9ffcb32d6de0a57a5449e14	SINGLE	22756647	2184638112
SRR5560521	SAMN07124242	SRS2200227	SRX2823627	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560521/SRR5560521.fastq.gz	3529212066	d2a0ceb73dd80b9d8363108d3165bcf6	SINGLE	39860000	3826560000
SRR5560523	SAMN07124341	SRS2200229	SRX2823629	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560523/SRR5560523.fastq.gz	4012850482	6cb2d8bd3536d72f116406cc5f06365c	SINGLE	45414155	4359758880
SRR5560529	SAMN07124342	SRS2200235	SRX2823635	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560529/SRR5560529.fastq.gz	3824333767	4f14f05e7d07ad1e9d09459a1fc11a79	SINGLE	47548066	4517066270
SRR5560546	SAMN07124399	SRS2200251	SRX2823652	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560546/SRR5560546.fastq.gz	2193187104	3acf17deeb91f8188fb5c6a128402857	SINGLE	26385793	2664965093
SRR5560549	SAMN07124396	SRS2200256	SRX2823655	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560549/SRR5560549.fastq.gz	1850283933	cf00f16d11042ee258d82933cd495621	SINGLE	22989090	2321898090
SRR5560550	SAMN07124395	SRS2200255	SRX2823656	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560550/SRR5560550.fastq.gz	2400568928	44581bab07d8aea5d596b598e882540b	SINGLE	29822684	3012091084
SRR5560554	SAMN07124277	SRS2200259	SRX2823659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560554/SRR5560554.fastq.gz	1993853630	21e826ea72aea7facdc5ace82e7cd910	SINGLE	25685364	2594221764
SRR5560560	SAMN07124278	SRS2200265	SRX2823665	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560560/SRR5560560.fastq.gz	1870527741	3afa26780b3547f801519d987ed67116	SINGLE	23181067	2341287767
SRR5560575	SAMN07124377	SRS2200280	SRX2823680	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560575/SRR5560575.fastq.gz	2833412326	7659696ae6114f8de269d910dbf24271	SINGLE	33113098	3344422898
SRR5560588	SAMN07124236	SRS2200291	SRX2823693	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560588/SRR5560588.fastq.gz	3275838664	4a495b6f4851e326056bd5bbc0b02bc9	SINGLE	36703145	3670314500
SRR5560589	SAMN07124235	SRS2200293	SRX2823694	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560589/SRR5560589.fastq.gz	4569330997	521f3ccf8510a6e1ead7ae1a189227b6	SINGLE	51596842	5211281042
SRR5560592	SAMN07124232	SRS2200296	SRX2823697	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560592/SRR5560592.fastq.gz	3548833186	7200d47933addcac876de19475a20290	SINGLE	40303572	4070660772
SRR5560598	SAMN07124226	SRS2200302	SRX2823703	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560598/SRR5560598.fastq.gz	3032506539	6505c73c046eee90fd0941ddfeebe1e3	SINGLE	34091860	3409186000
SRR5560607	SAMN07124319	SRS2200310	SRX2823712	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560607/SRR5560607.fastq.gz	1878307043	dd6704dbacbdcfe29b4caf1d09a5e4ea	SINGLE	22858781	2285878100
SRR5560613	SAMN07124315	SRS2200318	SRX2823718	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560613/SRR5560613.fastq.gz	2087337782	902be683b4d46821b2da9d5daa3e1466	SINGLE	24696380	2469638000
SRR5560632	SAMN07124179	SRS2200340	SRX2823737	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560632/SRR5560632.fastq.gz	2677905838	6da2f2273fb8f042cc3fa2e60de884e2	SINGLE	31124313	2987934048
SRR5560657	SAMN07124214	SRS2200362	SRX2823762	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560657/SRR5560657.fastq.gz	2456194805	3b988a5d0c95af8a91ef758f6741ad38	SINGLE	27481500	2775631500
SRR5560658	SAMN07124213	SRS2200363	SRX2823763	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560658/SRR5560658.fastq.gz	2590639647	269c9826e7f57ef6e14601ebaab26d02	SINGLE	29154830	2944637830
SRR5560659	SAMN07124212	SRS2200364	SRX2823764	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560659/SRR5560659.fastq.gz	2700278279	6342fd03f9f096592aa312af1ba22e3e	SINGLE	30132168	3043348968
SRR5560666	SAMN07124202	SRS2200371	SRX2823771	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560666/SRR5560666.fastq.gz	2294212188	216f49b94aa512e162b8877c3cbf12c2	SINGLE	27006397	2727646097
SRR5560678	SAMN07124310	SRS2200381	SRX2823783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560678/SRR5560678.fastq.gz	3112425815	97ff9460c8bcc9fb5f984583ab354dd4	SINGLE	36663273	3702990573
SRR5560680	SAMN07124308	SRS2200383	SRX2823785	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560680/SRR5560680.fastq.gz	2540069836	96f300f830eef7bb7656eac306059a35	SINGLE	29881550	3018036550
SRR5560684	SAMN07124304	SRS2200389	SRX2823789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560684/SRR5560684.fastq.gz	1812436250	246fb0c622a533013f3a61e2c2f40fe2	SINGLE	22434345	2265868845
SRR5560688	SAMN07124299	SRS2200393	SRX2823793	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560688/SRR5560688.fastq.gz	1844508933	a7db2b56542d7cf58c89e63e55bdcce7	SINGLE	22767696	2299537296
SRR5560696	SAMN07124291	SRS2200401	SRX2823801	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560696/SRR5560696.fastq.gz	3958836539	376b76c275821a6bd5047770dac00e28	SINGLE	44116504	4411650400
SRR5560697	SAMN07124290	SRS2200402	SRX2823802	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560697/SRR5560697.fastq.gz	3205994503	66f7a3ef6ed314375a8a2dc65ccfd6b3	SINGLE	35779409	3577940900
SRR5560700	SAMN07124287	SRS2200405	SRX2823805	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560700/SRR5560700.fastq.gz	3041907691	b5c4e5b2fd4dd7557833a160efd84766	SINGLE	32041632	3236204832
SRR5560706	SAMN07124366	SRS2200411	SRX2823811	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560706/SRR5560706.fastq.gz	3094458512	cdfe5985f87327564aa9247c359dc4f0	SINGLE	34380591	3438059100
SRR5560709	SAMN07124363	SRS2200414	SRX2823814	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560709/SRR5560709.fastq.gz	2980442860	81d021206dcc1e6731ee279c15ff25e2	SINGLE	33183387	3318338700
SRR5560716	SAMN07124356	SRS2200421	SRX2823821	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560716/SRR5560716.fastq.gz	2525074314	42081d4793e6230cb571912061cd8d61	SINGLE	28565860	2856586000
SRR5560721	SAMN07124351	SRS2200427	SRX2823826	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560721/SRR5560721.fastq.gz	2896859725	3a09cc4f1cd95b09b929883cad074631	SINGLE	32912104	3291210400
SRR5560506	SAMN07124257	SRS2200212	SRX2823612	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560506/SRR5560506.fastq.gz	1140195006	5d67cb3a0ac1d4ba6166e58dc0848143	SINGLE	12724462	1208823890
SRR5560511	SAMN07124252	SRS2200218	SRX2823617	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560511/SRR5560511.fastq.gz	2483017316	91515bc98504c86ebabbf281c1bcf7ea	SINGLE	28499339	2735936544
SRR5560520	SAMN07124243	SRS2200226	SRX2823626	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560520/SRR5560520.fastq.gz	2066464178	b2d5c47c1221754f1726b958a3cab98f	SINGLE	23619255	2267448480
SRR5560528	SAMN07124343	SRS2200234	SRX2823634	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560528/SRR5560528.fastq.gz	2072871778	09a5b1fd05cee93b7820841bb4c48765	SINGLE	26679680	2534569600
SRR5560535	SAMN07124335	SRS2200241	SRX2823641	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560535/SRR5560535.fastq.gz	2410983382	2025e1ea2126f269be297cd670a14570	SINGLE	31460604	2988757380
SRR5560547	SAMN07124398	SRS2200254	SRX2823653	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560547/SRR5560547.fastq.gz	2343078922	aba5e5fc42d15f546ba9a90a752245f4	SINGLE	28338992	2862238192
SRR5560551	SAMN07124394	SRS2200257	SRX2823657	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560551/SRR5560551.fastq.gz	1412530435	e6a2cacd95eb59f063ea36f1f52e846f	SINGLE	18226503	1840876803
SRR5560558	SAMN07124280	SRS2200263	SRX2823663	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560558/SRR5560558.fastq.gz	2330873078	9d08fe1e24aaeddd84c5b002e0e87a5f	SINGLE	28784449	2907229349
SRR5560563	SAMN07124389	SRS2200268	SRX2823668	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560563/SRR5560563.fastq.gz	2719638714	6fb6d139205d9c54d9a9d0687669ef83	SINGLE	29106997	2939806697
SRR5560565	SAMN07124387	SRS2200270	SRX2823670	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560565/SRR5560565.fastq.gz	3173673268	444bdf1c44b9f9a4afb6d67e47192f9f	SINGLE	35624643	3598088943
SRR5560566	SAMN07124386	SRS2200271	SRX2823671	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560566/SRR5560566.fastq.gz	3442579631	1bac28a6eae13586192122e539904adc	SINGLE	38885771	3927462871
SRR5560567	SAMN07124385	SRS2200272	SRX2823672	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560567/SRR5560567.fastq.gz	3975384466	fadc20c5918e5e01e7f86bf250e7277b	SINGLE	45645337	4610179037
SRR5560574	SAMN07124378	SRS2200279	SRX2823679	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560574/SRR5560574.fastq.gz	3056531307	7db76c4072e3a23aa6328679c8328d12	SINGLE	35836008	3619436808
SRR5560582	SAMN07124370	SRS2200287	SRX2823687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560582/SRR5560582.fastq.gz	3195862211	08ef847a86cb80c564ebdad03c44ac03	SINGLE	36070786	3643149386
SRR5560586	SAMN07124238	SRS2200311	SRX2823691	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560586/SRR5560586.fastq.gz	3647894481	2084cbe279239153636c2927b23ccd0e	SINGLE	41605665	4202172165
SRR5560591	SAMN07124233	SRS2200295	SRX2823696	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560591/SRR5560591.fastq.gz	3083460858	5a805c9967b7603efad9cdeb362d2b1e	SINGLE	34937740	3528711740
SRR5560600	SAMN07124328	SRS2200304	SRX2823705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560600/SRR5560600.fastq.gz	3539726149	481c31d1a1f245d54f22fdda9e57ccfc	SINGLE	40089546	4008954600
SRR5560610	SAMN07124322	SRS2200317	SRX2823715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560610/SRR5560610.fastq.gz	2433931748	0bfddc572b9c3146d24fed7664a28b71	SINGLE	29718696	2971869600
SRR5560611	SAMN07124317	SRS2200316	SRX2823716	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560611/SRR5560611.fastq.gz	2201028339	5a4d34bda38225036616521ab7fc2e6f	SINGLE	26737104	2673710400
SRR5560612	SAMN07124316	SRS2200315	SRX2823717	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560612/SRR5560612.fastq.gz	2722572654	5fe2e3b72d702f29e8ebdd90a0c3f402	SINGLE	32012650	3233277650
SRR5560614	SAMN07124314	SRS2200319	SRX2823719	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560614/SRR5560614.fastq.gz	3646269569	290f65dfcb2684d5ea1fea9b471d6061	SINGLE	42717592	4314476792
SRR5560618	SAMN07124193	SRS2200324	SRX2823723	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560618/SRR5560618.fastq.gz	2775866961	b4c5fce26792c1f547ca2c3e8aa3f3f5	SINGLE	31319013	3131901300
SRR5560622	SAMN07124189	SRS2200327	SRX2823727	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560622/SRR5560622.fastq.gz	3142950269	f6af274ecd58181c9a0506fdf7a579ce	SINGLE	35860061	3586006100
SRR5560627	SAMN07124184	SRS2200336	SRX2823732	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560627/SRR5560627.fastq.gz	2427569571	85e0ad83e9fd699c6666329fa0ffd1ae	SINGLE	29088167	2792464032
SRR5560636	SAMN07124175	SRS2200341	SRX2823741	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560636/SRR5560636.fastq.gz	3232295642	b09070b5433327eb12badcb168e191a7	SINGLE	37381102	3588585792
SRR5560637	SAMN07124174	SRS2200342	SRX2823742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560637/SRR5560637.fastq.gz	2306879384	91a6c4af4e3cf285c7ef027a08938950	SINGLE	27820159	2642915105
SRR5560640	SAMN07124274	SRS2200344	SRX2823745	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560640/SRR5560640.fastq.gz	2649856746	93ce10a61d8922a60f3d099adc588493	SINGLE	31953495	3035582025
