Transcript	Gene
Vitvi05_01chr00g01010_t001	Vitvi05_01chr00g01010
Vitvi05_01chr00g01020_t001	Vitvi05_01chr00g01020
Vitvi05_01chr00g01030_t001	Vitvi05_01chr00g01030
Vitvi05_01chr00g01040_t001	Vitvi05_01chr00g01040
Vitvi05_01chr00g01050_t001	Vitvi05_01chr00g01050
Vitvi05_01chr00g01060_t001	Vitvi05_01chr00g01060
Vitvi05_01chr00g01070_t001	Vitvi05_01chr00g01070
Vitvi05_01chr00g01080_t002	Vitvi05_01chr00g01080
Vitvi05_01chr00g01080_t001	Vitvi05_01chr00g01080
Vitvi05_01chr00g01090_t001	Vitvi05_01chr00g01090
Vitvi05_01chr00g01100_t001	Vitvi05_01chr00g01100
Vitvi05_01chr00g01110_t001	Vitvi05_01chr00g01110
Vitvi05_01chr00g01120_t001	Vitvi05_01chr00g01120
Vitvi05_01chr00g01130_t001	Vitvi05_01chr00g01130
Vitvi05_01chr00g01140_t002	Vitvi05_01chr00g01140
Vitvi05_01chr00g01140_t001	Vitvi05_01chr00g01140
Vitvi05_01chr00g01150_t001	Vitvi05_01chr00g01150
Vitvi05_01chr00g01160_t001	Vitvi05_01chr00g01160
Vitvi05_01chr00g01170_t001	Vitvi05_01chr00g01170
Vitvi05_01chr00g01180_t001	Vitvi05_01chr00g01180
Vitvi05_01chr00g01190_t001	Vitvi05_01chr00g01190
Vitvi05_01chr00g01200_t001	Vitvi05_01chr00g01200
Vitvi05_01chr00g01210_t001	Vitvi05_01chr00g01210
Vitvi05_01chr00g01220_t001	Vitvi05_01chr00g01220
Vitvi05_01chr00g01230_t001	Vitvi05_01chr00g01230
Vitvi05_01chr00g01240_t001	Vitvi05_01chr00g01240
Vitvi05_01chr00g01250_t001	Vitvi05_01chr00g01250
Vitvi05_01chr00g01260_t001	Vitvi05_01chr00g01260
Vitvi05_01chr00g01270_t001	Vitvi05_01chr00g01270
Vitvi05_01chr00g01280_t001	Vitvi05_01chr00g01280
Vitvi05_01chr00g01290_t001	Vitvi05_01chr00g01290
Vitvi05_01chr00g01300_t002	Vitvi05_01chr00g01300
Vitvi05_01chr00g01300_t003	Vitvi05_01chr00g01300
Vitvi05_01chr00g01300_t001	Vitvi05_01chr00g01300
Vitvi05_01chr00g01310_t001	Vitvi05_01chr00g01310
Vitvi05_01chr00g01320_t001	Vitvi05_01chr00g01320
Vitvi05_01chr00g01330_t001	Vitvi05_01chr00g01330
Vitvi05_01chr00g01340_t001	Vitvi05_01chr00g01340
Vitvi05_01chr00g01350_t001	Vitvi05_01chr00g01350
Vitvi05_01chr00g01360_t001	Vitvi05_01chr00g01360
Vitvi05_01chr00g01370_t001	Vitvi05_01chr00g01370
Vitvi05_01chr00g01380_t001	Vitvi05_01chr00g01380
Vitvi05_01chr00g01390_t001	Vitvi05_01chr00g01390
Vitvi05_01chr00g01400_t001	Vitvi05_01chr00g01400
Vitvi05_01chr00g01410_t001	Vitvi05_01chr00g01410
Vitvi05_01chr00g01420_t001	Vitvi05_01chr00g01420
Vitvi05_01chr00g01430_t001	Vitvi05_01chr00g01430
Vitvi05_01chr00g01440_t001	Vitvi05_01chr00g01440
Vitvi05_01chr00g01450_t001	Vitvi05_01chr00g01450
Vitvi05_01chr00g01460_t001	Vitvi05_01chr00g01460
Vitvi05_01chr00g01470_t001	Vitvi05_01chr00g01470
Vitvi05_01chr00g01480_t001	Vitvi05_01chr00g01480
Vitvi05_01chr00g01490_t001	Vitvi05_01chr00g01490
Vitvi05_01chr00g01500_t001	Vitvi05_01chr00g01500
Vitvi05_01chr00g01510_t001	Vitvi05_01chr00g01510
Vitvi05_01chr00g01520_t001	Vitvi05_01chr00g01520
Vitvi05_01chr00g01530_t001	Vitvi05_01chr00g01530
Vitvi05_01chr00g01540_t001	Vitvi05_01chr00g01540
Vitvi05_01chr00g01550_t001	Vitvi05_01chr00g01550
Vitvi05_01chr00g01560_t001	Vitvi05_01chr00g01560
Vitvi05_01chr00g01570_t001	Vitvi05_01chr00g01570
Vitvi05_01chr00g01580_t001	Vitvi05_01chr00g01580
Vitvi05_01chr00g01590_t001	Vitvi05_01chr00g01590
Vitvi05_01chr00g01600_t001	Vitvi05_01chr00g01600
Vitvi05_01chr00g01600_t002	Vitvi05_01chr00g01600
Vitvi05_01chr00g01610_t001	Vitvi05_01chr00g01610
Vitvi05_01chr00g01620_t001	Vitvi05_01chr00g01620
Vitvi05_01chr00g01630_t001	Vitvi05_01chr00g01630
Vitvi05_01chr00g01640_t001	Vitvi05_01chr00g01640
Vitvi05_01chr00g01650_t001	Vitvi05_01chr00g01650
Vitvi05_01chr00g01660_t001	Vitvi05_01chr00g01660
Vitvi05_01chr00g01670_t001	Vitvi05_01chr00g01670
Vitvi05_01chr00g01680_t001	Vitvi05_01chr00g01680
Vitvi05_01chr00g01690_t001	Vitvi05_01chr00g01690
Vitvi05_01chr00g01700_t001	Vitvi05_01chr00g01700
Vitvi05_01chr00g01710_t001	Vitvi05_01chr00g01710
Vitvi05_01chr00g01720_t001	Vitvi05_01chr00g01720
Vitvi05_01chr00g01730_t001	Vitvi05_01chr00g01730
Vitvi05_01chr00g01740_t001	Vitvi05_01chr00g01740
Vitvi05_01chr00g01750_t001	Vitvi05_01chr00g01750
Vitvi05_01chr00g01760_t001	Vitvi05_01chr00g01760
Vitvi05_01chr00g01770_t001	Vitvi05_01chr00g01770
Vitvi05_01chr00g01780_t001	Vitvi05_01chr00g01780
Vitvi05_01chr00g01790_t001	Vitvi05_01chr00g01790
Vitvi05_01chr00g01800_t001	Vitvi05_01chr00g01800
Vitvi05_01chr00g01810_t001	Vitvi05_01chr00g01810
Vitvi05_01chr00g01820_t001	Vitvi05_01chr00g01820
Vitvi05_01chr00g01830_t002	Vitvi05_01chr00g01830
Vitvi05_01chr00g01830_t001	Vitvi05_01chr00g01830
Vitvi05_01chr00g01840_t001	Vitvi05_01chr00g01840
Vitvi05_01chr00g01850_t001	Vitvi05_01chr00g01850
Vitvi05_01chr00g01860_t001	Vitvi05_01chr00g01860
Vitvi05_01chr00g01870_t001	Vitvi05_01chr00g01870
Vitvi05_01chr00g01880_t001	Vitvi05_01chr00g01880
Vitvi05_01chr00g01890_t001	Vitvi05_01chr00g01890
Vitvi05_01chr00g01900_t001	Vitvi05_01chr00g01900
Vitvi05_01chr00g01910_t001	Vitvi05_01chr00g01910
Vitvi05_01chr00g01920_t001	Vitvi05_01chr00g01920
Vitvi05_01chr00g01930_t001	Vitvi05_01chr00g01930
Vitvi05_01chr00g01940_t001	Vitvi05_01chr00g01940
Vitvi05_01chr00g01950_t001	Vitvi05_01chr00g01950
Vitvi05_01chr00g01960_t001	Vitvi05_01chr00g01960
Vitvi05_01chr00g01970_t001	Vitvi05_01chr00g01970
Vitvi05_01chr00g01980_t001	Vitvi05_01chr00g01980
Vitvi05_01chr00g01990_t001	Vitvi05_01chr00g01990
Vitvi05_01chr00g02000_t001	Vitvi05_01chr00g02000
Vitvi05_01chr00g02010_t001	Vitvi05_01chr00g02010
Vitvi05_01chr00g02020_t001	Vitvi05_01chr00g02020
Vitvi05_01chr00g02030_t001	Vitvi05_01chr00g02030
Vitvi05_01chr00g02040_t001	Vitvi05_01chr00g02040
Vitvi05_01chr00g02050_t001	Vitvi05_01chr00g02050
Vitvi05_01chr00g02060_t001	Vitvi05_01chr00g02060
Vitvi05_01chr00g02070_t001	Vitvi05_01chr00g02070
Vitvi05_01chr00g02080_t001	Vitvi05_01chr00g02080
Vitvi05_01chr00g02090_t001	Vitvi05_01chr00g02090
Vitvi05_01chr00g02100_t001	Vitvi05_01chr00g02100
Vitvi05_01chr00g02110_t001	Vitvi05_01chr00g02110
Vitvi05_01chr00g02120_t001	Vitvi05_01chr00g02120
Vitvi05_01chr00g02130_t001	Vitvi05_01chr00g02130
Vitvi05_01chr00g02140_t001	Vitvi05_01chr00g02140
Vitvi05_01chr00g02150_t001	Vitvi05_01chr00g02150
Vitvi05_01chr00g02160_t001	Vitvi05_01chr00g02160
Vitvi05_01chr00g02170_t001	Vitvi05_01chr00g02170
Vitvi05_01chr00g02180_t001	Vitvi05_01chr00g02180
Vitvi05_01chr00g02190_t001	Vitvi05_01chr00g02190
Vitvi05_01chr00g02200_t001	Vitvi05_01chr00g02200
Vitvi05_01chr00g02210_t001	Vitvi05_01chr00g02210
Vitvi05_01chr00g02220_t001	Vitvi05_01chr00g02220
Vitvi05_01chr00g02230_t001	Vitvi05_01chr00g02230
Vitvi05_01chr00g02240_t001	Vitvi05_01chr00g02240
Vitvi05_01chr00g02250_t001	Vitvi05_01chr00g02250
Vitvi05_01chr00g02260_t001	Vitvi05_01chr00g02260
Vitvi05_01chr00g02270_t001	Vitvi05_01chr00g02270
Vitvi05_01chr00g02280_t001	Vitvi05_01chr00g02280
Vitvi05_01chr00g02290_t001	Vitvi05_01chr00g02290
Vitvi05_01chr00g02300_t001	Vitvi05_01chr00g02300
Vitvi05_01chr00g02310_t001	Vitvi05_01chr00g02310
Vitvi05_01chr00g02320_t001	Vitvi05_01chr00g02320
Vitvi05_01chr00g02330_t001	Vitvi05_01chr00g02330
Vitvi05_01chr00g02340_t001	Vitvi05_01chr00g02340
Vitvi05_01chr00g02350_t001	Vitvi05_01chr00g02350
Vitvi05_01chr00g02360_t001	Vitvi05_01chr00g02360
Vitvi05_01chr00g02370_t001	Vitvi05_01chr00g02370
Vitvi05_01chr00g02380_t001	Vitvi05_01chr00g02380
Vitvi05_01chr00g02390_t001	Vitvi05_01chr00g02390
Vitvi05_01chr00g02400_t001	Vitvi05_01chr00g02400
Vitvi05_01chr00g02410_t001	Vitvi05_01chr00g02410
Vitvi05_01chr00g02420_t001	Vitvi05_01chr00g02420
Vitvi05_01chr00g02430_t001	Vitvi05_01chr00g02430
Vitvi05_01chr00g02440_t001	Vitvi05_01chr00g02440
Vitvi05_01chr00g02450_t001	Vitvi05_01chr00g02450
Vitvi05_01chr00g02460_t001	Vitvi05_01chr00g02460
Vitvi05_01chr00g02470_t001	Vitvi05_01chr00g02470
Vitvi05_01chr00g02480_t001	Vitvi05_01chr00g02480
Vitvi05_01chr00g02490_t001	Vitvi05_01chr00g02490
Vitvi05_01chr00g02500_t001	Vitvi05_01chr00g02500
Vitvi05_01chr00g02510_t001	Vitvi05_01chr00g02510
Vitvi05_01chr00g02520_t001	Vitvi05_01chr00g02520
Vitvi05_01chr00g02530_t001	Vitvi05_01chr00g02530
Vitvi05_01chr00g02540_t001	Vitvi05_01chr00g02540
Vitvi05_01chr00g02550_t002	Vitvi05_01chr00g02550
Vitvi05_01chr00g02550_t001	Vitvi05_01chr00g02550
Vitvi05_01chr00g02560_t001	Vitvi05_01chr00g02560
Vitvi05_01chr00g02570_t001	Vitvi05_01chr00g02570
Vitvi05_01chr00g02580_t001	Vitvi05_01chr00g02580
Vitvi05_01chr00g02590_t001	Vitvi05_01chr00g02590
Vitvi05_01chr00g02600_t001	Vitvi05_01chr00g02600
Vitvi05_01chr00g02610_t001	Vitvi05_01chr00g02610
Vitvi05_01chr00g02620_t001	Vitvi05_01chr00g02620
Vitvi05_01chr00g02630_t002	Vitvi05_01chr00g02630
Vitvi05_01chr00g02630_t001	Vitvi05_01chr00g02630
Vitvi05_01chr00g02640_t001	Vitvi05_01chr00g02640
Vitvi05_01chr00g02650_t001	Vitvi05_01chr00g02650
Vitvi05_01chr00g02660_t001	Vitvi05_01chr00g02660
Vitvi05_01chr00g02670_t001	Vitvi05_01chr00g02670
Vitvi05_01chr00g02680_t001	Vitvi05_01chr00g02680
Vitvi05_01chr00g02690_t001	Vitvi05_01chr00g02690
Vitvi05_01chr00g02700_t001	Vitvi05_01chr00g02700
Vitvi05_01chr00g02710_t001	Vitvi05_01chr00g02710
Vitvi05_01chr00g02720_t001	Vitvi05_01chr00g02720
Vitvi05_01chr00g02730_t001	Vitvi05_01chr00g02730
Vitvi05_01chr00g02740_t001	Vitvi05_01chr00g02740
Vitvi05_01chr00g02750_t001	Vitvi05_01chr00g02750
Vitvi05_01chr00g02760_t001	Vitvi05_01chr00g02760
Vitvi05_01chr00g02770_t001	Vitvi05_01chr00g02770
Vitvi05_01chr00g02780_t001	Vitvi05_01chr00g02780
Vitvi05_01chr00g02790_t001	Vitvi05_01chr00g02790
Vitvi05_01chr00g02800_t001	Vitvi05_01chr00g02800
Vitvi05_01chr00g02810_t001	Vitvi05_01chr00g02810
Vitvi05_01chr00g02820_t001	Vitvi05_01chr00g02820
Vitvi05_01chr00g02830_t001	Vitvi05_01chr00g02830
Vitvi05_01chr00g02840_t002	Vitvi05_01chr00g02840
Vitvi05_01chr00g02840_t001	Vitvi05_01chr00g02840
Vitvi05_01chr00g02850_t001	Vitvi05_01chr00g02850
Vitvi05_01chr00g02860_t001	Vitvi05_01chr00g02860
Vitvi05_01chr00g02860_t002	Vitvi05_01chr00g02860
Vitvi05_01chr00g02870_t001	Vitvi05_01chr00g02870
Vitvi05_01chr00g02880_t001	Vitvi05_01chr00g02880
Vitvi05_01chr00g02890_t001	Vitvi05_01chr00g02890
Vitvi05_01chr00g02900_t001	Vitvi05_01chr00g02900
Vitvi05_01chr00g02910_t001	Vitvi05_01chr00g02910
Vitvi05_01chr00g02920_t001	Vitvi05_01chr00g02920
Vitvi05_01chr00g02920_t002	Vitvi05_01chr00g02920
Vitvi05_01chr00g02930_t002	Vitvi05_01chr00g02930
Vitvi05_01chr00g02930_t001	Vitvi05_01chr00g02930
Vitvi05_01chr00g02940_t001	Vitvi05_01chr00g02940
Vitvi05_01chr00g02950_t001	Vitvi05_01chr00g02950
Vitvi05_01chr00g02960_t001	Vitvi05_01chr00g02960
Vitvi05_01chr00g02970_t001	Vitvi05_01chr00g02970
Vitvi05_01chr00g02980_t001	Vitvi05_01chr00g02980
Vitvi05_01chr00g02990_t001	Vitvi05_01chr00g02990
Vitvi05_01chr00g03000_t001	Vitvi05_01chr00g03000
Vitvi05_01chr00g03000_t002	Vitvi05_01chr00g03000
Vitvi05_01chr00g03010_t001	Vitvi05_01chr00g03010
Vitvi05_01chr00g03020_t001	Vitvi05_01chr00g03020
Vitvi05_01chr00g03030_t001	Vitvi05_01chr00g03030
Vitvi05_01chr00g03040_t001	Vitvi05_01chr00g03040
Vitvi05_01chr00g03050_t001	Vitvi05_01chr00g03050
Vitvi05_01chr00g03060_t001	Vitvi05_01chr00g03060
Vitvi05_01chr00g03070_t001	Vitvi05_01chr00g03070
Vitvi05_01chr00g03080_t001	Vitvi05_01chr00g03080
Vitvi05_01chr00g03090_t001	Vitvi05_01chr00g03090
Vitvi05_01chr00g03100_t001	Vitvi05_01chr00g03100
Vitvi05_01chr00g03110_t001	Vitvi05_01chr00g03110
Vitvi05_01chr00g03120_t001	Vitvi05_01chr00g03120
Vitvi05_01chr00g03130_t001	Vitvi05_01chr00g03130
Vitvi05_01chr00g03140_t001	Vitvi05_01chr00g03140
Vitvi05_01chr00g03150_t001	Vitvi05_01chr00g03150
Vitvi05_01chr00g03160_t001	Vitvi05_01chr00g03160
Vitvi05_01chr00g03170_t001	Vitvi05_01chr00g03170
Vitvi05_01chr00g03180_t001	Vitvi05_01chr00g03180
Vitvi05_01chr00g03190_t001	Vitvi05_01chr00g03190
Vitvi05_01chr00g03200_t001	Vitvi05_01chr00g03200
Vitvi05_01chr00g03210_t001	Vitvi05_01chr00g03210
Vitvi05_01chr00g03220_t002	Vitvi05_01chr00g03220
Vitvi05_01chr00g03220_t001	Vitvi05_01chr00g03220
Vitvi05_01chr00g03230_t001	Vitvi05_01chr00g03230
Vitvi05_01chr00g03240_t001	Vitvi05_01chr00g03240
Vitvi05_01chr00g03250_t001	Vitvi05_01chr00g03250
Vitvi05_01chr00g03260_t001	Vitvi05_01chr00g03260
Vitvi05_01chr00g03270_t002	Vitvi05_01chr00g03270
Vitvi05_01chr00g03270_t001	Vitvi05_01chr00g03270
Vitvi05_01chr00g03280_t001	Vitvi05_01chr00g03280
Vitvi05_01chr00g03290_t001	Vitvi05_01chr00g03290
Vitvi05_01chr00g03300_t001	Vitvi05_01chr00g03300
Vitvi05_01chr00g03310_t001	Vitvi05_01chr00g03310
Vitvi05_01chr00g03320_t001	Vitvi05_01chr00g03320
Vitvi05_01chr00g03330_t001	Vitvi05_01chr00g03330
Vitvi05_01chr00g03340_t001	Vitvi05_01chr00g03340
Vitvi05_01chr00g03350_t001	Vitvi05_01chr00g03350
Vitvi05_01chr00g03360_t001	Vitvi05_01chr00g03360
Vitvi05_01chr00g03370_t001	Vitvi05_01chr00g03370
Vitvi05_01chr00g03380_t001	Vitvi05_01chr00g03380
Vitvi05_01chr00g03390_t001	Vitvi05_01chr00g03390
Vitvi05_01chr00g03400_t001	Vitvi05_01chr00g03400
Vitvi05_01chr00g03410_t001	Vitvi05_01chr00g03410
Vitvi05_01chr00g03420_t001	Vitvi05_01chr00g03420
Vitvi05_01chr00g03430_t001	Vitvi05_01chr00g03430
Vitvi05_01chr00g03440_t001	Vitvi05_01chr00g03440
Vitvi05_01chr00g03450_t001	Vitvi05_01chr00g03450
Vitvi05_01chr00g03460_t001	Vitvi05_01chr00g03460
Vitvi05_01chr00g03470_t001	Vitvi05_01chr00g03470
Vitvi05_01chr00g03480_t001	Vitvi05_01chr00g03480
Vitvi05_01chr00g03490_t001	Vitvi05_01chr00g03490
Vitvi05_01chr00g03500_t001	Vitvi05_01chr00g03500
Vitvi05_01chr00g03510_t001	Vitvi05_01chr00g03510
Vitvi05_01chr00g03520_t001	Vitvi05_01chr00g03520
Vitvi05_01chr00g03530_t001	Vitvi05_01chr00g03530
Vitvi05_01chr00g03540_t001	Vitvi05_01chr00g03540
Vitvi05_01chr00g03550_t001	Vitvi05_01chr00g03550
Vitvi05_01chr00g03560_t001	Vitvi05_01chr00g03560
Vitvi05_01chr00g03570_t001	Vitvi05_01chr00g03570
Vitvi05_01chr00g03580_t001	Vitvi05_01chr00g03580
Vitvi05_01chr00g03590_t001	Vitvi05_01chr00g03590
Vitvi05_01chr00g03600_t001	Vitvi05_01chr00g03600
Vitvi05_01chr00g03610_t001	Vitvi05_01chr00g03610
Vitvi05_01chr00g03620_t001	Vitvi05_01chr00g03620
Vitvi05_01chr00g03630_t001	Vitvi05_01chr00g03630
Vitvi05_01chr00g03640_t001	Vitvi05_01chr00g03640
Vitvi05_01chr00g03650_t001	Vitvi05_01chr00g03650
Vitvi05_01chr00g03660_t001	Vitvi05_01chr00g03660
Vitvi05_01chr00g03670_t001	Vitvi05_01chr00g03670
Vitvi05_01chr00g03680_t001	Vitvi05_01chr00g03680
Vitvi05_01chr00g03690_t001	Vitvi05_01chr00g03690
Vitvi05_01chr00g03700_t001	Vitvi05_01chr00g03700
Vitvi05_01chr00g03710_t001	Vitvi05_01chr00g03710
Vitvi05_01chr00g03720_t001	Vitvi05_01chr00g03720
Vitvi05_01chr00g03730_t001	Vitvi05_01chr00g03730
Vitvi05_01chr00g03740_t001	Vitvi05_01chr00g03740
Vitvi05_01chr00g03750_t001	Vitvi05_01chr00g03750
Vitvi05_01chr00g03760_t001	Vitvi05_01chr00g03760
Vitvi05_01chr00g03770_t001	Vitvi05_01chr00g03770
Vitvi05_01chr00g03780_t001	Vitvi05_01chr00g03780
Vitvi05_01chr00g03790_t001	Vitvi05_01chr00g03790
Vitvi05_01chr00g03800_t001	Vitvi05_01chr00g03800
Vitvi05_01chr00g03810_t001	Vitvi05_01chr00g03810
Vitvi05_01chr00g03820_t001	Vitvi05_01chr00g03820
Vitvi05_01chr00g03830_t001	Vitvi05_01chr00g03830
Vitvi05_01chr00g03840_t001	Vitvi05_01chr00g03840
Vitvi05_01chr00g03850_t001	Vitvi05_01chr00g03850
Vitvi05_01chr00g03860_t001	Vitvi05_01chr00g03860
Vitvi05_01chr00g03870_t001	Vitvi05_01chr00g03870
Vitvi05_01chr00g03880_t001	Vitvi05_01chr00g03880
Vitvi05_01chr00g03890_t001	Vitvi05_01chr00g03890
Vitvi05_01chr00g03900_t001	Vitvi05_01chr00g03900
Vitvi05_01chr00g03910_t001	Vitvi05_01chr00g03910
Vitvi05_01chr00g03920_t001	Vitvi05_01chr00g03920
Vitvi05_01chr00g03930_t001	Vitvi05_01chr00g03930
Vitvi05_01chr00g03940_t001	Vitvi05_01chr00g03940
Vitvi05_01chr00g03950_t001	Vitvi05_01chr00g03950
Vitvi05_01chr00g03960_t001	Vitvi05_01chr00g03960
Vitvi05_01chr00g03970_t002	Vitvi05_01chr00g03970
Vitvi05_01chr00g03970_t001	Vitvi05_01chr00g03970
Vitvi05_01chr00g03980_t002	Vitvi05_01chr00g03980
Vitvi05_01chr00g03980_t001	Vitvi05_01chr00g03980
Vitvi05_01chr00g03990_t001	Vitvi05_01chr00g03990
Vitvi05_01chr00g04000_t001	Vitvi05_01chr00g04000
Vitvi05_01chr00g04010_t001	Vitvi05_01chr00g04010
