"Gene"	"V3_gene"	"V5_gene"	"V3_MapMan_terms"	"V5_MapMan_terms"	"V3_Pfam"	"V3_PANTHER"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"	"V5_Pfam"	"V5_PANTHER"	"V5_OtherDomains"
"VIT_04s0044g00040"	"Vitvi04g01566"	"Vitvi05_01chr04g22300"	"not assigned; not assigned.not annotated"	NA	"PF03018 ('Dirigent-like protein-Dirigent protein', '7.3E-25', 'Pfam')"	"PTHR47586 ('DIRIGENT PROTEIN', '5.0E-87', 'PANTHER')"	"chr04"	22794334	22795685	"PF03018 ('Dirigent-like protein-Dirigent protein', '7.3E-25', 'Pfam')"	"PTHR47586 ('DIRIGENT PROTEIN', '5.0E-87', 'PANTHER')"	"G3DSA:2.40.480.10 ('Allene oxide cyclase/Dirigent protein', '5.2E-13', 'Gene3D')"
"VIT_08s0040g01710"	"Vitvi08g01022"	"Vitvi05_01chr08g10910"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis; Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity; Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity.phenylalanine ammonia lyase (PAL)"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_4 lyases; mapman:Enzyme classification.EC_4 lyases.EC_4-3 carbon-nitrogen lyase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis; mapman:Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity; mapman:Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity.phenylalanine ammonia lyase *(PAL)"	"PF00221 ('Aromatic amino acid lyase-Aromatic amino acid lyase', '0.0', 'Pfam')"	"PTHR10362 ('HISTIDINE AMMONIA-LYASE-Aromatic amino acid lyase', '0.0', 'PANTHER')"	"chr08"	13991103	13994726	"PF00221 ('Aromatic amino acid lyase-Aromatic amino acid lyase', '0.0', 'Pfam')"	"PTHR10362 ('HISTIDINE AMMONIA-LYASE-Aromatic amino acid lyase', '0.0', 'PANTHER')"	"SSF48557 ('L-aspartase-like-L-Aspartase-like', '0.0', 'SUPERFAMILY'); G3DSA:1.10.275.10:FF:000009 ('Phenylalanine ammonia-lyase', '0.0', 'FunFam'); G3DSA:1.10.275.10 ('Fumarase/histidase, N-terminal', '3.1E-98', 'Gene3D'); G3DSA:1.10.274.20 ('Phenylalanine ammonia-lyase, shielding domain superfamily', '0.0', 'Gene3D'); cd00332 ('PAL-HAL-Aromatic amino acid lyase', '0.0', 'CDD'); G3DSA:1.20.200.10 ('Fumarase/aspartase (Central domain)', '0.0', 'Gene3D'); TIGR01226 ('phenylalanine ammonia-lyase-Phenylalanine ammonia-lyase', '0.0', 'NCBIfam'); PS00488 ('Phenylalanine and histidine ammonia-lyases signature.-Phenylalanine/histidine ammonia-lyases, active site', '-', 'ProSitePatterns'); G3DSA:1.20.200.10:FF:000009 ('Phenylalanine ammonia-lyase', '0.0', 'FunFam'); G3DSA:1.10.274.20:FF:000001 ('Phenylalanine ammonia-lyase', '4.8E-64', 'FunFam')"
"VIT_18s0001g08760"	"Vitvi18g00635"	NA	"Phytohormone action; Phytohormone action.signalling peptides; Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category; Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category.phytosulfokine activity; Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category.phytosulfokine activity.pythosulfokine precursor polypeptide (PSK)"	NA	"PF06404 ('Phytosulfokine precursor protein (PSK)-Phytosulfokine', '1.2E-13', 'Pfam')"	"PTHR33285 ('PHYTOSULFOKINES 3-Phytosulfokine', '1.6E-18', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_05s0049g01550"	"Vitvi05g00802"	"Vitvi05_01chr05g11840"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.MFS superfamily; Solute transport.carrier-mediated transport.MFS superfamily.anion transporter (NRT1/PTR)"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.MFS superfamily; mapman:Solute transport.carrier-mediated transport.MFS superfamily.anion transporter *(NRT1/PTR)"	"PF00854 ('POT family-Proton-dependent oligopeptide transporter family', '9.8E-99', 'Pfam')"	"PTHR11654 ('OLIGOPEPTIDE TRANSPORTER-RELATED', '0.0', 'PANTHER')"	"chr05"	9116415	9121286	"PF00854 ('POT family-Proton-dependent oligopeptide transporter family', '9.8E-99', 'Pfam')"	"PTHR11654 ('OLIGOPEPTIDE TRANSPORTER-RELATED', '0.0', 'PANTHER')"	"G3DSA:1.20.1250.20 ('MFS general substrate transporter like domains-MFS transporter superfamily', '0.0', 'Gene3D'); cd17417 ('MFS_NPF5-NRT1/PTR family', '0.0', 'CDD'); SSF103473 ('MFS general substrate transporter-MFS transporter superfamily', '1.31E-20', 'SUPERFAMILY')"
"VIT_18s0166g00060"	"Vitvi18g02845"	NA	"not assigned; not assigned.not annotated"	NA	""	""	NA	NA	NA	NA	NA	NA
"VIT_18s0001g15130"	"Vitvi18g02824"	"Vitvi05_01chr18g17840"	"not assigned; not assigned.not annotated"	NA	""	"PTHR33133 ('OS08G0107100 PROTEIN-RELATED', '5.3E-72', 'PANTHER')"	"chr18"	13137370	13139130	""	"PTHR33133 ('OS08G0107100 PROTEIN-RELATED', '5.3E-72', 'PANTHER')"	""
"VIT_05s0077g01560"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIT_07s0005g03340"	"Vitvi07g00598"	"Vitvi05_01chr07g09050"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.MYB  transcription factor superfamily; RNA biosynthesis.transcriptional regulation.MYB  transcription factor superfamily.transcription factor (MYB)"	"mapman:RNA biosynthesis; mapman:RNA biosynthesis.DNA-binding transcriptional regulation; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain.MYB  transcription factor family; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain.MYB  transcription factor family.R2R3-MYB transcription factor family; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain.MYB  transcription factor family.R2R3-MYB transcription factor family.subgroup-2 transcription factor"	"PF00249 ('Myb-like DNA-binding domain-SANT/Myb domain', '2.5E-14', 'Pfam'); PF00249 ('Myb-like DNA-binding domain-SANT/Myb domain', '1.6E-14', 'Pfam')"	"PTHR10641 ('MYB FAMILY TRANSCRIPTION FACTOR', '2.8E-80', 'PANTHER')"	"chr07"	6587888	6590227	"PF00249 ('Myb-like DNA-binding domain-SANT/Myb domain', '2.5E-14', 'Pfam'); PF00249 ('Myb-like DNA-binding domain-SANT/Myb domain', '1.6E-14', 'Pfam')"	"PTHR10641 ('MYB FAMILY TRANSCRIPTION FACTOR', '2.8E-80', 'PANTHER')"	"SM00717 ('sant-SANT/Myb domain', '8.3E-15', 'SMART'); PS50090 ('Myb-like domain profile.-SANT/Myb domain', '11.486072', 'ProSiteProfiles'); cd00167 ('SANT-SANT/Myb domain', '6.16681E-13', 'CDD'); SSF46689 ('Homeodomain-like-Homedomain-like superfamily', '1.14E-31', 'SUPERFAMILY'); PS51294 ('Myb-type HTH DNA-binding domain profile.-Myb domain', '25.49762', 'ProSiteProfiles'); G3DSA:1.10.10.60:FF:000001 ('MYB-related transcription factor', '7.5E-33', 'FunFam'); PS51294 ('Myb-type HTH DNA-binding domain profile.-Myb domain', '20.014009', 'ProSiteProfiles'); G3DSA:1.10.10.60:FF:000316 ('Transcription factor MYB15', '7.4E-36', 'FunFam'); G3DSA:1.10.10.60 ('-', '8.9E-23', 'Gene3D'); SM00717 ('sant-SANT/Myb domain', '2.8E-15', 'SMART'); G3DSA:1.10.10.60 ('-', '2.8E-20', 'Gene3D'); PS50090 ('Myb-like domain profile.-SANT/Myb domain', '11.1377', 'ProSiteProfiles')"
"VIT_06s0004g07550"	"Vitvi06g00745"	"Vitvi05_01chr06g10940"	"not assigned; not assigned.annotated"	NA	"PF07107 ('Wound-induced protein WI12-Wound-induced protein Wun1-like', '3.3E-34', 'Pfam')"	"PTHR33703 ('OS07G0691300 PROTEIN-Wound-induced protein Wun1-like', '1.3E-65', 'PANTHER')"	"chr06"	8325191	8327222	"PF07107 ('Wound-induced protein WI12-Wound-induced protein Wun1-like', '3.8E-35', 'Pfam'); PF07107 ('Wound-induced protein WI12-Wound-induced protein Wun1-like', '3.3E-34', 'Pfam')"	"PTHR33703 ('OS07G0691300 PROTEIN-Wound-induced protein Wun1-like', '1.3E-65', 'PANTHER'); PTHR33703 ('OS07G0691300 PROTEIN-Wound-induced protein Wun1-like', '2.7E-38', 'PANTHER')"	"PIRSF007948 ('Wun1-Wound-induced protein 1/12, subgroup', '4.2E-41', 'PIRSF'); G3DSA:3.10.450.50 ('-', '3.5E-7', 'Gene3D'); SSF54427 ('NTF2-like-NTF2-like domain superfamily', '1.86E-8', 'SUPERFAMILY'); SSF54427 ('NTF2-like-NTF2-like domain superfamily', '6.01E-22', 'SUPERFAMILY'); G3DSA:3.10.450.50 ('-', '9.1E-18', 'Gene3D')"
"VIT_18s0001g15220"	"Vitvi18g01202"	"Vitvi05_01chr18g17970"	"not assigned; not assigned.not annotated"	NA	""	"PTHR33133 ('OS08G0107100 PROTEIN-RELATED', '2.6E-72', 'PANTHER')"	"chr18"	13249139	13250569	""	"PTHR33133 ('OS08G0107100 PROTEIN-RELATED', '2.6E-72', 'PANTHER')"	""
"VIT_00s0270g00120"	"Vitvi04g00798"	"Vitvi05_01chr04g11600"	"not assigned; not assigned.annotated"	"mapman:Protein homeostasis; mapman:Protein homeostasis.proteolysis; mapman:Protein homeostasis.proteolysis.protease inhibitor activities; mapman:Protein homeostasis.proteolysis.protease inhibitor activities.Kunitz protease inhibitor"	"PF00197 ('Trypsin and protease inhibitor-Proteinase inhibitor I3, Kunitz legume', '3.2E-45', 'Pfam')"	"PTHR33107 ('KUNITZ TRYPSIN INHIBITOR 2-Proteinase inhibitor I3, Kunitz legume', '2.4E-48', 'PANTHER')"	"chr04"	10178889	10179787	"PF00197 ('Trypsin and protease inhibitor-Proteinase inhibitor I3, Kunitz legume', '3.2E-45', 'Pfam')"	"PTHR33107 ('KUNITZ TRYPSIN INHIBITOR 2-Proteinase inhibitor I3, Kunitz legume', '2.4E-48', 'PANTHER')"	"SM00452 ('kul_2-Proteinase inhibitor I3, Kunitz legume', '8.9E-33', 'SMART'); SSF50386 ('STI-like-Kunitz inhibitor STI-like superfamily', '8.6E-42', 'SUPERFAMILY'); cd00178 ('STI-Proteinase inhibitor I3, Kunitz legume', '9.3188E-41', 'CDD'); G3DSA:2.80.10.50 ('-', '5.4E-52', 'Gene3D'); PR00291 ('Soybean trypsin inhibitor (Kunitz-type) signature-Proteinase inhibitor I3, Kunitz legume', '4.7E-10', 'PRINTS')"
"VIT_14s0030g01890"	"Vitvi14g00438"	"Vitvi05_01chr14g07720"	"not assigned; not assigned.not annotated"	NA	""	"PTHR33881 ('NEUROGENIC LOCUS NOTCH-LIKE PROTEIN', '2.7E-67', 'PANTHER'); PTHR33881 ('NEUROGENIC LOCUS NOTCH-LIKE PROTEIN', '3.5E-66', 'PANTHER')"	"chr14"	6790551	6793433	""	"PTHR33881 ('NEUROGENIC LOCUS NOTCH-LIKE PROTEIN', '2.7E-67', 'PANTHER')"	""
"VIT_05s0077g01570"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIT_06s0004g02010"	"Vitvi06g01630"	NA	"not assigned; not assigned.not annotated"	NA	""	""	NA	NA	NA	NA	NA	NA
"VIT_11s0016g03190"	"Vitvi11g01393"	"Vitvi05_01chr11g03800"	"not assigned; not assigned.not annotated"	NA	"PF13639 ('Ring finger domain-Zinc finger, RING-type', '7.2E-10', 'Pfam')"	"PTHR15710 ('E3 UBIQUITIN-PROTEIN LIGASE PRAJA', '1.8E-18', 'PANTHER')"	"chr11"	2551459	2552621	"PF13639 ('Ring finger domain-Zinc finger, RING-type', '2.6E-10', 'Pfam')"	"PTHR15710 ('E3 UBIQUITIN-PROTEIN LIGASE PRAJA', '1.2E-19', 'PANTHER')"	"G3DSA:3.30.40.10 ('Zinc/RING finger domain, C3HC4 (zinc finger)-Zinc finger, RING/FYVE/PHD-type', '3.2E-18', 'Gene3D'); PS50089 ('Zinc finger RING-type profile.-Zinc finger, RING-type', '12.430266', 'ProSiteProfiles'); SM00184 ('ring_2-Zinc finger, RING-type', '8.0E-8', 'SMART'); SSF57850 ('RING/U-box', '1.9E-18', 'SUPERFAMILY')"
"VIT_03s0091g00160"	"Vitvi03g01597"	"Vitvi05_01chr03g09150"	"not assigned; not assigned.not annotated"	NA	"PF04450 ('Peptidase of plants and bacteria-Uncharacterised protein family, basic secretory protein', '3.4E-78', 'Pfam')"	"PTHR33321 ('Uncharacterised protein family, basic secretory protein', '1.6E-91', 'PANTHER')"	"chr03"	6377466	6378723	"PF04450 ('Peptidase of plants and bacteria-Uncharacterised protein family, basic secretory protein', '3.4E-78', 'Pfam')"	"PTHR33321 ('Uncharacterised protein family, basic secretory protein', '1.6E-91', 'PANTHER')"	""
