SampleName	Class	GSM	Cultivar	Year	Stage	TimePoint	Replicate	DayAfterVeraison	Evidence	GEO_URL
GSM2627854	PN_FruitSet	GSM2627854	Pinot noir	2013	FruitSet	0	2		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627854
GSM2627855	PN_FruitSet	GSM2627855	Pinot noir	2013	FruitSet	0	3		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627855
GSM2627862	PN_Veraison	GSM2627862	Pinot noir	2013	Veraison	3	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627862
GSM2627863	PN_Veraison	GSM2627863	Pinot noir	2013	Veraison	3	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627863
GSM2627864	PN_Veraison	GSM2627864	Pinot noir	2013	Veraison	3	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627864
GSM2627883	PN_Harvest	GSM2627883	Pinot noir	2013	Harvest	10	1		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627883
GSM2627884	PN_Harvest	GSM2627884	Pinot noir	2013	Harvest	10	2		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627884
GSM2627885	PN_Harvest	GSM2627885	Pinot noir	2013	Harvest	10	3		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627885
GSM2627886	PN_FruitSet	GSM2627886	Pinot noir	2014	FruitSet	0	1		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627886
GSM2627887	PN_FruitSet	GSM2627887	Pinot noir	2014	FruitSet	0	2		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627887
GSM2627888	PN_FruitSet	GSM2627888	Pinot noir	2014	FruitSet	0	3		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627888
GSM2627895	PN_Veraison	GSM2627895	Pinot noir	2014	Veraison	3	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627895
GSM2627896	PN_Veraison	GSM2627896	Pinot noir	2014	Veraison	3	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627896
GSM2627897	PN_Veraison	GSM2627897	Pinot noir	2014	Veraison	3	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627897
GSM2627919	PN_Harvest	GSM2627919	Pinot noir	2014	Harvest	11	1		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627919
GSM2627920	PN_Harvest	GSM2627920	Pinot noir	2014	Harvest	11	2		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627920
GSM2627921	PN_Harvest	GSM2627921	Pinot noir	2014	Harvest	11	3		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627921
